epoch,train_loss,train_acc,val_loss,val_acc
0,1.9919,26.28,1.9168,31.30
1,1.8221,33.06,1.8647,32.80
2,1.7374,36.25,1.8553,34.26
3,1.6949,37.84,1.8020,35.36
4,1.6604,39.13,1.8144,35.19
5,1.6350,40.16,1.7904,35.51
6,1.6088,41.20,1.7923,35.54
7,1.5862,42.24,1.8061,35.77
8,1.5663,43.12,1.7311,37.63
9,1.5527,43.44,1.7076,38.51
10,1.5363,44.15,1.7364,38.19
11,1.5225,44.52,1.6938,39.48
12,1.5091,45.17,1.7104,39.29
13,1.4928,45.68,1.6995,40.11
14,1.4832,46.02,1.6844,40.18
15,1.4702,46.69,1.6900,40.48
16,1.4647,46.86,1.6470,41.52
17,1.4493,47.48,1.6543,41.79
18,1.4388,48.08,1.6505,41.52
19,1.4322,47.76,1.6432,42.23
20,1.4202,48.39,1.6290,42.81
21,1.4129,48.74,1.6349,42.55
22,1.4055,49.03,1.5997,43.39
23,1.3991,49.33,1.6062,43.50
24,1.3903,49.73,1.6141,43.57
25,1.3823,49.92,1.6018,43.70
26,1.3807,50.23,1.6111,43.59
27,1.3693,50.66,1.5908,44.43
28,1.3675,50.64,1.5746,44.38
29,1.3585,51.26,1.6018,43.89
30,1.3527,51.08,1.5417,45.81
31,1.3443,51.47,1.5491,45.34
32,1.3417,51.53,1.5694,45.40
33,1.3281,52.14,1.5457,45.66
34,1.3308,51.84,1.5457,45.61
35,1.3187,52.50,1.5428,45.95
36,1.3192,52.22,1.5494,46.37
37,1.3139,52.81,1.5331,46.18
38,1.3071,52.89,1.5509,45.79
39,1.3040,52.77,1.5287,46.37
40,1.2958,53.46,1.5131,47.04
41,1.2904,53.55,1.5040,47.20
42,1.2832,53.83,1.4975,47.64
43,1.2846,53.83,1.4820,48.21
44,1.2772,54.11,1.4890,47.39
45,1.2727,54.24,1.4918,48.00
46,1.2700,54.06,1.4803,48.14
47,1.2628,54.79,1.4868,48.02
48,1.2558,54.91,1.5031,48.14
49,1.2523,54.78,1.4687,48.86
50,1.2513,54.99,1.4570,48.78
51,1.2440,55.37,1.4624,49.02
52,1.2407,55.39,1.4504,49.19
53,1.2356,55.44,1.4584,49.37
54,1.2325,55.65,1.4468,49.74
55,1.2252,56.01,1.4538,49.09
56,1.2237,55.62,1.4551,49.25
57,1.2169,56.22,1.4523,49.56
58,1.2137,56.31,1.4701,49.05
59,1.2108,56.69,1.4564,49.10
60,1.2113,56.45,1.4118,50.70
61,1.2005,56.73,1.4369,49.99
62,1.1969,56.76,1.4561,49.36
63,1.1940,57.12,1.4280,50.33
64,1.1937,57.22,1.4247,50.10
65,1.1863,57.43,1.4372,49.90
66,1.1833,57.60,1.4093,50.53
67,1.1764,57.60,1.4301,50.56
68,1.1746,57.69,1.4309,50.39
69,1.1753,57.94,1.3980,50.77
70,1.1730,57.80,1.3947,51.41
71,1.1615,58.16,1.3787,51.63
72,1.1624,58.04,1.4138,50.79
73,1.1622,58.08,1.3837,51.75
74,1.1529,58.66,1.3972,51.15
75,1.1511,58.86,1.3628,51.76
76,1.1473,58.84,1.3651,51.76
77,1.1494,58.84,1.3713,52.13
78,1.1409,59.05,1.3717,52.45
79,1.1438,58.99,1.3635,52.34
80,1.1348,59.37,1.3681,52.63
81,1.1259,59.62,1.3610,52.26
82,1.1268,59.33,1.3802,52.06
83,1.1237,59.79,1.3674,52.72
84,1.1204,59.60,1.3461,53.18
85,1.1203,59.97,1.3519,52.70
86,1.1174,60.01,1.3577,52.54
87,1.1160,60.16,1.3492,52.88
88,1.1096,60.13,1.3461,53.51
89,1.1009,60.46,1.3596,52.96
90,1.1044,60.53,1.3541,52.89
91,1.1071,60.38,1.3183,53.57
92,1.0976,60.76,1.3229,54.04
93,1.0933,60.81,1.3159,54.35
94,1.0960,60.69,1.3320,53.88
95,1.0865,61.09,1.3503,54.12
96,1.0870,60.83,1.3333,53.75
97,1.0860,61.25,1.3065,54.52
98,1.0821,61.01,1.3193,54.52
99,1.0734,61.64,1.3141,54.27
