epoch,train_loss,train_acc,val_loss,val_acc
0,1.8650,28.20,1.8117,33.92
1,1.6295,38.23,1.7476,40.85
2,1.4558,46.24,1.3519,49.80
3,1.3332,51.29,1.3092,53.07
4,1.2423,55.14,1.2650,54.74
5,1.1735,57.87,1.1025,60.31
6,1.1216,59.76,1.1524,59.43
7,1.0757,61.48,1.0697,63.50
8,1.0403,63.21,1.0362,64.28
9,0.9997,64.35,1.0134,64.41
10,0.9643,65.73,0.8770,69.10
11,0.9348,67.03,0.9070,68.28
12,0.9123,68.07,0.8726,69.91
13,0.8804,69.19,0.8765,69.62
14,0.8701,69.37,0.8513,71.00
15,0.8553,69.95,0.9278,67.61
16,0.8332,70.80,0.8699,70.47
17,0.8227,71.29,0.8222,72.27
18,0.7994,72.19,0.7839,73.21
19,0.7966,72.15,0.7615,73.82
20,0.7791,72.81,0.7894,72.98
21,0.7706,73.07,0.7102,75.42
22,0.7522,73.94,0.7445,73.79
23,0.7493,73.77,0.6881,76.39
24,0.7421,74.08,0.7371,74.52
25,0.7298,74.67,0.7138,75.50
26,0.7222,74.89,0.6813,76.22
27,0.7097,75.33,0.7002,75.37
28,0.7051,75.65,0.6343,77.88
29,0.6967,75.75,0.6760,76.69
30,0.6941,76.01,0.6824,76.79
31,0.6809,76.46,0.6260,78.67
32,0.6813,76.44,0.6947,76.27
33,0.6735,76.61,0.6088,79.08
34,0.6672,76.89,0.6430,78.20
35,0.6583,77.07,0.6716,76.82
36,0.6560,77.34,0.6386,78.59
37,0.6488,77.45,0.6243,78.52
38,0.6511,77.27,0.6191,78.83
39,0.6380,77.76,0.6606,78.16
40,0.6350,78.18,0.6480,78.01
41,0.6369,77.75,0.6495,77.90
42,0.6290,78.22,0.6705,77.17
43,0.6303,78.22,0.5817,79.88
44,0.6213,78.49,0.5936,79.86
45,0.6162,78.71,0.6429,78.16
46,0.6153,78.61,0.6084,79.15
47,0.6134,78.74,0.6007,79.61
48,0.6111,78.90,0.6073,79.01
49,0.6022,79.02,0.6377,78.59
50,0.5952,79.50,0.6065,79.55
51,0.6046,78.85,0.5667,80.55
52,0.5844,80.01,0.6078,79.01
53,0.5935,79.35,0.6043,79.84
54,0.5867,79.72,0.5749,80.81
55,0.5857,79.61,0.6087,79.61
56,0.5817,80.05,0.6581,78.32
57,0.5786,79.99,0.5727,80.93
58,0.5727,80.26,0.5844,79.94
59,0.5785,79.94,0.5736,80.90
60,0.5710,80.34,0.5842,80.22
61,0.5728,80.07,0.5640,81.17
62,0.5742,80.25,0.5754,80.36
63,0.5679,80.56,0.5851,79.97
64,0.5576,80.91,0.5494,81.47
65,0.5663,80.63,0.5577,81.31
66,0.5502,80.94,0.5763,80.24
67,0.5554,80.81,0.5670,81.13
68,0.5503,80.85,0.6253,79.23
69,0.5516,80.75,0.5500,81.38
70,0.5476,81.18,0.5378,81.81
71,0.5505,80.84,0.5889,80.55
72,0.5399,81.22,0.5801,81.35
73,0.5450,81.06,0.5555,81.37
74,0.5409,81.34,0.5347,82.13
75,0.5412,81.19,0.5320,81.93
76,0.5342,81.46,0.5518,81.10
77,0.5375,81.44,0.5330,82.02
78,0.5347,81.50,0.6358,79.37
79,0.5327,81.47,0.5520,80.76
80,0.5265,81.79,0.5372,82.04
81,0.5281,81.68,0.5244,82.34
82,0.5236,81.90,0.5324,82.32
83,0.5295,81.77,0.5520,81.52
84,0.5295,81.79,0.5337,82.58
85,0.5294,81.90,0.5203,81.95
86,0.5213,82.08,0.5484,81.56
87,0.5188,82.00,0.5071,82.74
88,0.5216,81.83,0.5113,82.60
89,0.5153,82.32,0.5547,82.19
90,0.5120,82.50,0.5431,81.98
91,0.5133,82.28,0.5287,82.32
92,0.5125,82.09,0.5330,82.34
93,0.5091,82.33,0.5533,81.34
94,0.5102,82.25,0.5176,82.53
95,0.5041,82.54,0.5400,82.05
96,0.5125,82.39,0.5559,81.78
97,0.5044,82.46,0.5268,82.18
98,0.4997,82.56,0.5263,82.20
99,0.4985,82.94,0.5085,82.79
