epoch,train_loss,train_acc,val_loss,val_acc
0,1.9761,25.85,1.8896,30.42
1,1.7860,32.75,1.8540,32.40
2,1.7171,35.64,1.7922,34.49
3,1.6636,37.80,1.7352,35.93
4,1.6210,39.77,1.6982,38.28
5,1.5755,41.90,1.6633,39.70
6,1.5434,43.26,1.6296,41.17
7,1.5126,44.37,1.6462,40.53
8,1.4823,45.55,1.5420,43.75
9,1.4583,46.72,1.5190,45.47
10,1.4322,47.62,1.5161,46.29
11,1.4179,48.34,1.5057,45.91
12,1.4009,49.16,1.5132,45.79
13,1.3894,49.19,1.4603,47.55
14,1.3626,50.23,1.4752,47.34
15,1.3537,50.83,1.4612,47.47
16,1.3418,51.36,1.4251,49.07
17,1.3366,51.32,1.4000,49.93
18,1.3145,52.36,1.4007,49.14
19,1.3029,52.66,1.4116,49.43
20,1.2977,52.93,1.3874,50.34
21,1.2826,53.62,1.3882,51.12
22,1.2742,54.21,1.3807,50.64
23,1.2626,54.27,1.3454,51.72
24,1.2537,54.65,1.3452,52.41
25,1.2397,55.33,1.3640,51.79
26,1.2344,55.67,1.3259,53.07
27,1.2224,55.84,1.3269,52.65
28,1.2145,56.27,1.3003,53.33
29,1.2069,56.59,1.2882,54.46
30,1.2040,56.89,1.3107,53.95
31,1.1946,56.62,1.3060,53.43
32,1.1852,57.60,1.2830,54.59
33,1.1801,57.52,1.2830,54.41
34,1.1734,57.69,1.2868,54.82
35,1.1612,58.00,1.2889,54.64
36,1.1569,58.20,1.2847,54.93
37,1.1483,58.80,1.2389,55.78
38,1.1464,58.70,1.2410,56.23
39,1.1430,58.88,1.2347,56.40
40,1.1343,59.13,1.2429,56.05
41,1.1278,59.56,1.2260,56.49
42,1.1202,59.70,1.2185,56.94
43,1.1163,59.73,1.2214,57.10
44,1.1089,60.18,1.2200,56.87
45,1.1049,60.25,1.2124,57.60
46,1.0944,60.74,1.2080,57.61
47,1.0964,60.81,1.1930,57.86
48,1.0916,60.74,1.1773,57.90
49,1.0841,61.10,1.2369,56.68
50,1.0805,61.05,1.1857,58.28
51,1.0696,61.73,1.1979,57.76
52,1.0675,61.60,1.2023,57.60
53,1.0650,61.89,1.1884,58.92
54,1.0552,62.17,1.1923,58.46
55,1.0538,62.19,1.1842,58.60
56,1.0514,62.35,1.1601,58.99
57,1.0463,62.58,1.1685,59.22
58,1.0433,62.40,1.1760,58.97
59,1.0408,62.59,1.1656,59.23
60,1.0292,63.17,1.1670,59.37
61,1.0335,62.84,1.1611,59.15
62,1.0224,63.29,1.1480,59.77
63,1.0207,63.35,1.1480,59.93
64,1.0192,63.45,1.1466,60.31
65,1.0130,63.40,1.1531,59.47
66,1.0104,63.72,1.1199,60.90
67,1.0015,64.02,1.1284,60.39
68,0.9984,64.45,1.1586,59.35
69,0.9938,64.50,1.1349,60.74
70,0.9884,64.59,1.1441,60.57
71,0.9875,64.46,1.1390,60.41
72,0.9847,64.80,1.1262,61.16
73,0.9786,64.88,1.1115,61.45
74,0.9831,64.32,1.1241,61.19
75,0.9766,65.06,1.1186,61.36
76,0.9669,65.06,1.1297,60.76
77,0.9671,65.03,1.0859,62.20
78,0.9626,65.44,1.1003,61.74
79,0.9556,65.69,1.0952,61.91
80,0.9608,65.41,1.0981,62.09
81,0.9556,65.62,1.0876,62.01
82,0.9511,66.11,1.0992,61.83
83,0.9479,66.09,1.0932,61.77
84,0.9436,66.23,1.0805,62.60
85,0.9428,66.29,1.0962,61.88
86,0.9329,66.66,1.1128,61.52
87,0.9302,66.77,1.0963,62.45
88,0.9313,66.65,1.1004,61.65
89,0.9261,66.83,1.0809,62.78
90,0.9215,67.12,1.0780,62.20
91,0.9207,67.04,1.0631,63.16
92,0.9131,67.20,1.0615,63.36
93,0.9121,67.50,1.0670,63.19
94,0.9105,67.35,1.0747,62.65
95,0.9072,67.36,1.0528,63.24
96,0.9035,67.63,1.0503,64.12
97,0.8968,68.08,1.0676,63.40
98,0.8999,67.81,1.0542,63.97
99,0.9002,67.78,1.0326,64.26
