epoch,train_loss,train_acc,val_loss,val_acc
0,1.9220,25.95,1.8886,30.17
1,1.7288,33.70,1.6781,36.89
2,1.6054,39.48,1.7425,37.24
3,1.5224,43.23,1.4682,45.37
4,1.4653,46.02,1.4482,45.94
5,1.4100,47.90,1.3926,48.41
6,1.3801,49.55,1.3597,50.52
7,1.3341,51.37,1.3025,52.47
8,1.3161,52.50,1.3262,52.14
9,1.2834,53.72,1.3171,52.52
10,1.2645,54.54,1.3201,54.13
11,1.2460,55.35,1.2143,56.78
12,1.2275,55.81,1.2129,55.84
13,1.2229,56.27,1.2080,57.10
14,1.1967,57.25,1.1859,56.86
15,1.1836,57.74,1.2507,55.13
16,1.1768,57.93,1.1493,58.92
17,1.1644,58.63,1.2356,56.61
18,1.1547,58.85,1.1189,60.24
19,1.1466,59.30,1.1927,57.90
20,1.1372,59.33,1.0753,61.43
21,1.1261,59.89,1.1730,58.35
22,1.1195,60.30,1.1486,59.99
23,1.1155,60.56,1.1346,60.82
24,1.1078,60.68,1.1002,61.59
25,1.0995,61.38,1.0958,61.64
26,1.0981,61.24,1.0893,61.18
27,1.0957,60.94,1.0484,62.96
28,1.0816,61.48,1.0767,62.29
29,1.0802,61.88,1.0621,63.09
30,1.0848,61.40,1.0536,62.71
31,1.0713,62.06,1.0854,61.52
32,1.0698,62.12,1.1104,61.41
33,1.0670,62.23,1.0426,63.57
34,1.0578,62.40,1.0633,63.11
35,1.0601,62.78,1.0166,63.78
36,1.0499,62.88,1.0652,63.67
37,1.0448,63.02,1.0391,64.02
38,1.0448,63.02,1.1234,61.78
39,1.0338,63.47,1.0329,63.70
40,1.0427,63.05,1.0213,64.49
41,1.0375,63.16,1.0394,64.18
42,1.0262,63.76,1.0247,64.62
43,1.0351,63.61,1.0397,63.86
44,1.0296,63.96,1.0622,62.60
45,1.0236,63.65,1.0433,63.50
46,1.0217,64.04,1.0358,64.38
47,1.0184,64.07,1.1025,61.76
48,1.0224,63.80,1.0521,64.22
49,1.0177,64.19,1.0018,65.02
50,1.0180,64.16,1.0251,64.82
51,1.0050,64.64,0.9792,65.73
52,1.0139,64.24,1.0120,65.22
53,1.0079,64.57,1.0011,64.95
54,1.0002,64.87,1.0059,65.58
55,1.0046,64.77,1.0301,64.87
56,1.0042,64.46,1.0013,65.41
57,0.9942,65.09,0.9940,65.66
58,0.9920,65.07,0.9664,66.44
59,0.9939,65.08,0.9597,66.73
60,0.9935,64.83,0.9731,66.02
61,0.9927,65.02,0.9808,66.19
62,0.9847,65.35,0.9993,66.04
63,0.9863,65.22,0.9947,65.46
64,0.9815,65.60,1.0152,65.01
65,0.9867,65.53,0.9902,65.79
66,0.9821,65.54,0.9953,66.16
67,0.9864,65.45,0.9756,65.91
68,0.9805,65.72,0.9524,66.48
69,0.9844,65.44,0.9544,67.03
70,0.9750,65.80,0.9747,66.41
71,0.9762,65.65,0.9739,65.91
72,0.9719,65.91,0.9322,66.92
73,0.9701,66.00,0.9688,66.31
74,0.9669,66.16,1.0022,66.51
75,0.9710,65.79,0.9587,67.31
76,0.9673,66.28,0.9428,67.06
77,0.9667,66.01,0.9734,66.60
78,0.9646,66.22,0.9720,66.11
79,0.9658,66.07,0.9310,67.49
80,0.9635,66.16,0.9953,65.69
81,0.9605,66.44,0.9271,67.83
82,0.9563,66.28,1.0045,65.94
83,0.9615,66.23,0.9312,68.03
84,0.9614,66.08,0.9592,66.71
85,0.9580,66.46,1.0010,65.78
86,0.9506,66.41,0.9602,67.61
87,0.9575,66.22,0.9588,66.89
88,0.9503,66.78,0.9304,66.79
89,0.9517,66.55,0.9189,68.14
90,0.9547,66.71,0.9653,67.63
91,0.9551,66.71,1.0093,66.65
92,0.9494,66.64,0.9565,67.36
93,0.9437,66.59,0.9793,66.68
94,0.9562,66.51,0.9615,66.74
95,0.9452,66.56,0.9636,67.47
96,0.9462,66.96,0.9281,68.21
97,0.9477,66.88,0.9610,67.55
98,0.9467,67.08,0.9476,66.97
99,0.9441,66.98,0.9382,68.29
