epoch,train_loss,train_acc,val_loss,val_acc
0,1.9244,27.41,1.7685,33.03
1,1.7336,34.94,1.6633,37.92
2,1.6319,39.36,1.6157,40.30
3,1.5497,42.88,1.4918,45.84
4,1.4808,46.09,1.4472,48.29
5,1.4315,47.76,1.3783,49.92
6,1.3791,49.99,1.3330,51.86
7,1.3476,50.96,1.3150,53.51
8,1.3183,52.25,1.3317,52.62
9,1.2946,53.18,1.2225,55.63
10,1.2649,54.27,1.2087,56.47
11,1.2478,54.94,1.1751,58.18
12,1.2249,55.98,1.1595,58.35
13,1.2046,56.65,1.1499,58.64
14,1.1818,57.37,1.1163,60.16
15,1.1704,57.82,1.1247,59.43
16,1.1475,58.75,1.0772,61.79
17,1.1386,59.16,1.0647,62.49
18,1.1220,59.42,1.0804,60.95
19,1.1107,60.13,1.0385,62.66
20,1.0978,60.38,1.0144,63.45
21,1.0887,60.86,1.0391,62.86
22,1.0696,61.45,1.0105,64.06
23,1.0629,61.76,1.0054,64.12
24,1.0508,62.25,0.9809,64.74
25,1.0427,62.79,0.9901,64.50
26,1.0288,63.05,0.9728,65.35
27,1.0193,63.56,0.9673,65.52
28,1.0124,63.74,0.9484,66.61
29,0.9966,64.01,0.9432,66.74
30,0.9886,64.46,0.9312,66.51
31,0.9773,64.74,0.9583,65.50
32,0.9751,64.81,0.9334,66.65
33,0.9642,65.48,0.9067,67.35
34,0.9502,65.81,0.9191,66.99
35,0.9494,66.23,0.8970,68.23
36,0.9372,66.29,0.8896,68.04
37,0.9264,66.70,0.8851,68.38
38,0.9247,66.88,0.8768,69.10
39,0.9121,67.49,0.8757,68.40
40,0.9080,67.55,0.8650,68.73
41,0.8980,67.79,0.8754,68.79
42,0.8899,68.25,0.8699,69.12
43,0.8818,68.59,0.8936,68.51
44,0.8784,68.59,0.8559,69.40
45,0.8655,68.83,0.8458,70.25
46,0.8623,68.99,0.8388,70.05
47,0.8524,69.54,0.8310,70.59
48,0.8505,69.59,0.8283,70.00
49,0.8461,69.72,0.8221,71.07
50,0.8413,69.94,0.8214,71.08
51,0.8298,70.25,0.8160,70.96
52,0.8229,70.53,0.8247,71.03
53,0.8152,70.91,0.7929,71.89
54,0.8117,70.82,0.7952,71.83
55,0.8029,71.41,0.8063,71.37
56,0.7932,71.61,0.7944,72.17
57,0.7922,71.65,0.7847,72.10
58,0.7828,71.84,0.7970,71.96
59,0.7789,72.04,0.7853,72.49
60,0.7751,72.34,0.7903,71.58
61,0.7647,72.39,0.7880,72.20
62,0.7658,72.58,0.7728,72.80
63,0.7546,72.85,0.7713,72.69
64,0.7468,73.19,0.7658,73.09
65,0.7411,73.38,0.7693,73.35
66,0.7387,73.53,0.7665,73.03
67,0.7327,73.96,0.7588,73.40
68,0.7284,73.92,0.7430,73.95
69,0.7270,74.11,0.7494,73.45
70,0.7150,74.25,0.7449,74.05
71,0.7144,74.50,0.7568,73.61
72,0.7040,74.88,0.7460,74.04
73,0.7007,74.89,0.7695,72.81
74,0.7013,74.89,0.7277,74.63
75,0.6844,75.52,0.7604,73.41
76,0.6893,75.36,0.7287,74.02
77,0.6760,75.70,0.7479,73.97
78,0.6761,75.88,0.7234,74.55
79,0.6718,75.75,0.7372,74.20
80,0.6634,75.94,0.7284,74.67
81,0.6616,76.07,0.7224,74.79
82,0.6536,76.65,0.7196,74.88
83,0.6530,76.62,0.7312,74.84
84,0.6469,76.70,0.7280,74.58
85,0.6388,77.23,0.7209,75.02
86,0.6375,76.89,0.7259,75.24
87,0.6233,77.57,0.7139,75.40
88,0.6211,77.46,0.7111,75.12
89,0.6228,77.62,0.7087,75.57
90,0.6152,77.82,0.7112,75.71
91,0.6153,78.01,0.7292,75.01
92,0.6135,78.19,0.7243,74.99
93,0.6052,78.42,0.7251,74.81
94,0.6027,78.44,0.6980,76.14
95,0.5949,78.60,0.7040,76.03
96,0.5933,78.88,0.7039,75.99
97,0.5860,79.06,0.7287,75.23
98,0.5821,79.02,0.7163,75.64
99,0.5796,79.14,0.7178,75.49
