epoch,train_loss,train_acc,val_loss,val_acc
0,1.9268,26.29,1.6869,35.77
1,1.5973,40.56,1.3881,48.26
2,1.3379,50.83,1.2121,55.55
3,1.1500,58.73,1.0251,62.66
4,1.0179,64.00,0.8814,68.05
5,0.9052,68.09,0.8277,71.08
6,0.8129,71.76,0.7219,75.46
7,0.7457,74.14,0.6408,77.78
8,0.6948,76.29,0.5973,79.68
9,0.6479,77.84,0.6026,79.15
10,0.6205,78.61,0.5486,81.33
11,0.5935,79.55,0.5094,82.68
12,0.5653,80.50,0.4968,83.16
13,0.5407,81.27,0.4822,83.75
14,0.5228,82.09,0.5210,82.64
15,0.5077,82.48,0.4481,85.24
16,0.4899,83.08,0.4538,84.57
17,0.4719,83.91,0.4651,84.36
18,0.4586,84.06,0.4132,85.85
19,0.4484,84.36,0.4822,83.38
20,0.4409,84.70,0.4446,84.92
21,0.4241,85.32,0.3854,86.93
22,0.4190,85.59,0.4079,85.84
23,0.4026,86.07,0.4205,85.81
24,0.3937,86.47,0.3943,86.50
25,0.3912,86.57,0.3915,86.89
26,0.3820,86.63,0.3978,86.56
27,0.3770,86.94,0.3789,87.06
28,0.3701,87.36,0.4136,86.14
29,0.3592,87.54,0.3721,87.06
30,0.3537,88.00,0.4119,86.06
31,0.3469,88.01,0.3702,87.43
32,0.3385,88.25,0.3659,87.97
33,0.3345,88.27,0.3741,87.76
34,0.3337,88.42,0.3752,87.18
35,0.3224,88.84,0.3603,88.18
36,0.3159,89.17,0.3516,88.09
37,0.3129,89.12,0.3723,88.04
38,0.3053,89.31,0.3804,87.34
39,0.2994,89.56,0.3397,88.73
40,0.2986,89.44,0.3438,88.81
41,0.2918,89.87,0.3493,88.36
42,0.2845,90.06,0.3458,88.33
43,0.2890,89.95,0.3740,87.87
44,0.2778,90.27,0.3588,88.37
45,0.2778,90.27,0.3641,88.09
46,0.2799,90.13,0.3544,88.56
47,0.2735,90.42,0.3282,89.48
48,0.2716,90.44,0.3224,89.39
49,0.2673,90.72,0.3409,89.02
50,0.2603,90.88,0.3239,89.46
51,0.2602,90.88,0.3265,89.79
52,0.2583,90.77,0.3274,89.40
53,0.2499,91.20,0.3439,89.13
54,0.2482,91.17,0.3518,88.91
55,0.2518,91.27,0.3343,89.62
56,0.2455,91.34,0.3337,89.51
57,0.2374,91.67,0.3472,89.62
58,0.2384,91.73,0.3504,89.04
59,0.2381,91.66,0.3210,90.04
60,0.2336,91.75,0.3576,88.77
61,0.2315,91.72,0.3473,89.32
62,0.2300,91.96,0.3493,89.13
63,0.2296,91.95,0.3347,89.35
64,0.2346,91.96,0.3254,89.59
65,0.2257,92.00,0.3209,90.06
66,0.2236,92.05,0.3491,89.29
67,0.2192,92.31,0.3282,89.38
68,0.2122,92.46,0.3333,89.74
69,0.2133,92.61,0.3239,90.02
70,0.2130,92.57,0.3185,90.08
71,0.2143,92.38,0.3374,89.28
72,0.2139,92.47,0.3448,89.74
73,0.2134,92.48,0.3385,89.71
74,0.2092,92.74,0.3466,89.72
75,0.2104,92.71,0.3199,90.21
76,0.2011,92.84,0.3235,89.97
77,0.2104,92.67,0.3249,89.90
78,0.2063,92.74,0.3176,90.19
79,0.1972,93.11,0.3322,90.17
80,0.1963,93.05,0.3146,90.21
81,0.2003,93.04,0.3349,89.78
82,0.1970,92.95,0.3339,90.10
83,0.1935,93.16,0.3410,89.99
84,0.1931,93.31,0.3153,90.81
85,0.1843,93.45,0.3211,90.39
86,0.1962,93.09,0.3201,90.16
87,0.1850,93.48,0.3506,89.73
88,0.1851,93.49,0.3311,90.09
89,0.1832,93.61,0.3067,90.74
90,0.1835,93.58,0.3490,89.45
91,0.1822,93.56,0.3370,90.33
92,0.1850,93.60,0.3384,89.89
93,0.1802,93.72,0.3284,90.36
94,0.1734,93.90,0.3398,89.94
95,0.1822,93.69,0.3328,90.27
96,0.1769,93.81,0.3355,90.65
97,0.1758,93.85,0.3373,90.08
98,0.1754,93.85,0.3775,89.86
99,0.1738,93.89,0.3621,89.65
