epoch,train_loss,train_acc,val_loss,val_acc
0,1.9307,31.71,1.7417,40.01
1,1.7342,38.68,1.6243,42.47
2,1.6543,40.88,1.5630,45.01
3,1.6041,43.01,1.5313,45.81
4,1.5668,44.37,1.4826,47.26
5,1.5291,44.99,1.4794,47.13
6,1.5064,46.31,1.4433,48.39
7,1.4887,46.51,1.4143,49.75
8,1.4701,47.25,1.4053,50.04
9,1.4558,47.73,1.4052,49.52
10,1.4414,48.26,1.3879,50.48
11,1.4269,48.70,1.3852,50.62
12,1.4140,49.27,1.3556,51.37
13,1.4041,49.83,1.3631,51.97
14,1.3918,49.95,1.3361,52.51
15,1.3780,50.81,1.3611,51.75
16,1.3744,50.61,1.3346,52.34
17,1.3720,50.50,1.3181,52.97
18,1.3589,51.03,1.3029,53.10
19,1.3489,51.33,1.3171,53.37
20,1.3460,51.60,1.3069,53.99
21,1.3329,52.31,1.2859,54.13
22,1.3308,52.10,1.2881,54.56
23,1.3270,52.72,1.2946,53.55
24,1.3148,52.90,1.2859,53.88
25,1.3173,52.95,1.2821,54.84
26,1.3061,53.23,1.2828,54.26
27,1.3073,53.16,1.2643,54.82
28,1.3006,53.39,1.2532,55.61
29,1.2926,53.70,1.2543,55.79
30,1.2869,54.16,1.2547,55.77
31,1.2838,54.01,1.2570,55.45
32,1.2736,54.16,1.2574,55.73
33,1.2718,54.34,1.2492,55.47
34,1.2740,54.72,1.2323,55.96
35,1.2618,54.83,1.2369,55.83
36,1.2533,55.32,1.2230,56.86
37,1.2540,55.01,1.2327,56.55
38,1.2510,55.49,1.2250,57.06
39,1.2463,55.15,1.2142,56.89
40,1.2419,55.65,1.2226,56.63
41,1.2426,55.43,1.2159,57.10
42,1.2349,55.90,1.2167,57.00
43,1.2322,55.76,1.2040,57.34
44,1.2381,55.80,1.2354,57.22
45,1.2203,56.35,1.2066,57.48
46,1.2249,56.28,1.2058,57.62
47,1.2160,56.52,1.1934,57.75
48,1.2182,56.27,1.2047,57.25
49,1.2098,56.84,1.1867,58.07
50,1.2090,56.75,1.1880,57.98
51,1.2110,56.44,1.1996,58.27
52,1.1995,57.26,1.2075,57.76
53,1.1998,57.18,1.1853,57.79
54,1.1964,57.16,1.1932,58.03
55,1.1990,57.09,1.1960,57.63
56,1.1889,57.70,1.1989,58.37
57,1.1836,57.80,1.1720,58.82
58,1.1839,57.86,1.2108,57.53
59,1.1843,57.58,1.1809,58.30
60,1.1813,57.83,1.1698,58.74
61,1.1763,58.18,1.1806,58.73
62,1.1734,58.14,1.1682,58.93
63,1.1727,58.12,1.1806,58.08
64,1.1666,58.41,1.1685,59.18
65,1.1614,58.61,1.1779,59.15
66,1.1662,58.32,1.1658,59.14
67,1.1598,58.75,1.1631,58.79
68,1.1591,58.80,1.1657,58.81
69,1.1525,58.84,1.1636,58.78
70,1.1511,58.95,1.1667,59.23
71,1.1517,59.05,1.1575,58.90
72,1.1502,58.99,1.1587,59.24
73,1.1440,59.12,1.1610,58.52
74,1.1497,59.14,1.1633,59.27
75,1.1412,59.34,1.1519,59.40
76,1.1384,59.52,1.1512,59.09
77,1.1368,59.69,1.1737,59.42
78,1.1331,59.57,1.1387,59.48
79,1.1363,59.45,1.1522,59.22
80,1.1320,59.64,1.1577,59.28
81,1.1290,59.74,1.1493,59.27
82,1.1237,59.88,1.1468,59.41
83,1.1277,59.94,1.1566,59.99
84,1.1222,59.99,1.1307,60.09
85,1.1195,60.11,1.1328,59.89
86,1.1149,60.24,1.1354,59.56
87,1.1082,60.40,1.1467,59.68
88,1.1143,60.23,1.1449,59.63
89,1.1090,60.52,1.1474,59.86
90,1.1103,60.24,1.1456,59.72
91,1.1049,60.62,1.1543,59.53
92,1.1023,60.70,1.1461,59.74
93,1.1043,60.61,1.1540,59.80
94,1.0967,60.96,1.1281,60.18
95,1.0998,60.58,1.1412,60.06
96,1.0957,61.03,1.1352,59.93
97,1.0989,60.83,1.1328,60.58
98,1.0901,61.25,1.1381,60.31
99,1.0892,61.03,1.1377,60.08
