epoch,train_loss,train_acc,val_loss,val_acc
0,2.0704,23.06,1.9082,28.66
1,1.8223,30.75,1.6616,37.60
2,1.7212,34.34,1.6163,39.47
3,1.6563,37.56,1.5658,41.86
4,1.6065,39.92,1.4939,45.11
5,1.5518,42.11,1.4395,47.03
6,1.5068,44.18,1.3741,49.51
7,1.4715,45.54,1.3657,50.75
8,1.4372,47.12,1.3364,51.40
9,1.4035,48.66,1.3310,51.83
10,1.3796,49.39,1.2712,53.79
11,1.3589,50.19,1.2948,53.48
12,1.3325,51.57,1.2535,54.80
13,1.3051,52.37,1.2261,55.36
14,1.2935,53.27,1.2246,56.58
15,1.2813,53.55,1.2212,56.57
16,1.2601,54.48,1.2137,56.49
17,1.2511,54.90,1.1700,57.93
18,1.2316,55.65,1.1558,59.23
19,1.2258,55.83,1.1717,58.40
20,1.2059,56.56,1.1461,59.71
21,1.1983,57.03,1.1387,60.25
22,1.1868,57.55,1.1364,59.62
23,1.1752,57.81,1.0826,61.83
24,1.1672,58.26,1.1018,61.27
25,1.1526,58.80,1.0918,60.95
26,1.1469,59.05,1.0711,62.43
27,1.1377,59.30,1.0779,62.33
28,1.1382,59.41,1.0828,62.06
29,1.1224,60.05,1.0579,62.96
30,1.1129,60.06,1.1058,62.20
31,1.1115,60.35,1.0432,62.92
32,1.1005,60.70,1.0226,63.54
33,1.0983,60.73,1.0440,63.42
34,1.0879,61.06,1.0108,64.10
35,1.0805,61.40,1.0362,63.36
36,1.0765,61.61,1.0336,63.69
37,1.0713,61.65,1.0296,63.70
38,1.0660,62.12,1.0032,64.76
39,1.0584,62.34,1.0294,63.97
40,1.0568,62.36,0.9957,64.85
41,1.0507,62.65,0.9877,65.40
42,1.0492,62.53,0.9931,64.85
43,1.0432,62.61,0.9831,65.84
44,1.0305,63.28,0.9697,65.65
45,1.0251,63.45,1.0079,65.04
46,1.0206,63.77,0.9793,66.10
47,1.0226,63.73,0.9877,65.65
48,1.0162,63.75,0.9589,66.19
49,1.0119,63.91,0.9782,65.95
50,1.0082,64.13,0.9781,65.67
51,1.0053,64.26,0.9499,66.38
52,0.9953,64.61,0.9876,65.48
53,0.9964,64.53,0.9470,66.13
54,0.9907,64.60,0.9471,66.78
55,0.9839,65.42,0.9391,66.59
56,0.9855,65.05,0.9390,67.52
57,0.9813,65.32,0.9440,67.07
58,0.9709,65.56,0.9144,67.77
59,0.9719,65.56,0.9494,67.45
60,0.9641,65.86,0.9071,67.58
61,0.9677,65.67,0.9253,67.76
62,0.9639,66.08,0.9566,66.23
63,0.9623,66.27,0.9252,67.49
64,0.9568,66.23,0.8956,68.00
65,0.9467,66.61,0.9325,67.57
66,0.9434,66.59,0.9127,68.02
67,0.9448,66.72,0.9055,68.04
68,0.9380,66.91,0.8990,68.50
69,0.9356,67.01,0.9156,68.58
70,0.9357,66.92,0.8831,68.56
71,0.9294,67.09,0.8929,68.48
72,0.9280,67.07,0.8820,68.86
73,0.9249,67.29,0.9199,68.49
74,0.9202,67.60,0.8765,69.17
75,0.9164,67.62,0.8783,69.21
76,0.9119,67.75,0.9062,68.34
77,0.9131,67.66,0.8885,68.72
78,0.9095,67.97,0.9142,68.00
79,0.9087,67.89,0.8829,68.82
80,0.9014,68.11,0.8589,69.60
81,0.9017,68.07,0.8822,69.04
82,0.8975,68.20,0.8538,69.91
83,0.9016,68.41,0.8796,69.60
84,0.8955,68.11,0.8720,69.28
85,0.8918,68.55,0.8618,69.64
86,0.8903,68.68,0.8648,69.52
87,0.8888,68.88,0.8303,70.17
88,0.8813,68.86,0.8522,69.63
89,0.8804,69.21,0.8610,69.55
90,0.8758,69.04,0.8518,70.22
91,0.8704,69.38,0.8225,70.94
92,0.8716,69.31,0.8431,71.00
93,0.8659,69.61,0.8456,70.62
94,0.8679,69.53,0.8155,71.17
95,0.8615,69.68,0.8336,70.48
96,0.8659,69.59,0.8142,71.17
97,0.8591,69.83,0.8315,70.78
98,0.8556,69.77,0.8372,70.93
99,0.8532,70.03,0.8204,70.72
