epoch,train_loss,train_acc,val_loss,val_acc
0,2.1673,23.22,2.0135,27.96
1,1.9430,30.27,1.8536,31.20
2,1.8235,33.06,1.7887,33.92
3,1.7579,35.42,1.7686,34.47
4,1.7186,36.65,1.7268,36.15
5,1.6840,38.22,1.7070,36.32
6,1.6589,39.03,1.6950,37.93
7,1.6394,39.62,1.7007,37.76
8,1.6206,40.18,1.6680,38.87
9,1.6057,41.08,1.6704,38.64
10,1.5946,41.34,1.6481,39.53
11,1.5783,42.11,1.6410,39.65
12,1.5698,42.23,1.6541,40.11
13,1.5574,42.72,1.6237,40.29
14,1.5487,43.09,1.6554,40.03
15,1.5408,43.48,1.6121,41.84
16,1.5290,44.06,1.6293,41.08
17,1.5206,44.43,1.6314,40.74
18,1.5160,44.40,1.6072,42.44
19,1.5032,45.34,1.6101,42.03
20,1.5040,45.10,1.6270,40.83
21,1.4956,45.38,1.6217,41.71
22,1.4860,46.12,1.6021,42.28
23,1.4818,45.90,1.5951,42.99
24,1.4762,46.27,1.5904,43.52
25,1.4760,46.34,1.5816,43.32
26,1.4623,46.81,1.5553,43.62
27,1.4500,47.09,1.5745,43.85
28,1.4523,47.27,1.5538,44.23
29,1.4518,47.29,1.5703,44.14
30,1.4501,47.05,1.5511,44.49
31,1.4494,47.32,1.5542,44.38
32,1.4417,47.82,1.5608,43.96
33,1.4336,48.11,1.5532,43.98
34,1.4283,47.92,1.5640,44.04
35,1.4288,48.04,1.5773,43.40
36,1.4224,48.48,1.5551,44.72
37,1.4188,48.45,1.5364,44.82
38,1.4111,48.69,1.5372,44.85
39,1.4143,48.38,1.5511,44.68
40,1.4107,48.98,1.5696,44.38
41,1.4047,49.08,1.5350,45.34
42,1.3985,49.43,1.5709,44.35
43,1.4010,49.34,1.5351,45.25
44,1.3950,49.39,1.5148,46.18
45,1.3933,49.47,1.5112,45.31
46,1.3882,49.69,1.5081,45.54
47,1.3898,49.48,1.5093,45.86
48,1.3811,50.04,1.4974,46.58
49,1.3827,50.04,1.5327,45.53
50,1.3771,50.18,1.5380,45.45
51,1.3774,50.03,1.5237,45.65
52,1.3746,50.08,1.5115,46.03
53,1.3727,50.34,1.4866,46.53
54,1.3641,50.33,1.5097,46.96
55,1.3659,50.67,1.4977,47.19
56,1.3614,50.88,1.5231,45.61
57,1.3591,50.72,1.5152,46.71
58,1.3506,51.29,1.5056,46.61
59,1.3493,51.04,1.4810,47.40
60,1.3500,51.20,1.4995,46.83
61,1.3472,51.25,1.4670,47.81
62,1.3483,51.34,1.4860,47.75
63,1.3475,51.32,1.5022,47.21
64,1.3445,51.48,1.4740,47.88
65,1.3386,51.62,1.4731,47.49
66,1.3361,51.79,1.4815,47.16
67,1.3390,51.41,1.4942,46.80
68,1.3360,51.89,1.4721,47.02
69,1.3329,51.82,1.4726,48.50
70,1.3299,51.91,1.4639,48.29
71,1.3229,51.97,1.4797,47.80
72,1.3214,51.98,1.4811,47.37
73,1.3215,52.28,1.4680,48.54
74,1.3229,52.14,1.4832,47.79
75,1.3188,52.30,1.4614,48.71
76,1.3147,52.58,1.4511,48.28
77,1.3100,52.51,1.4643,48.52
78,1.3128,52.95,1.4608,48.72
79,1.3103,52.49,1.4584,48.80
80,1.3137,52.52,1.4535,47.85
81,1.3064,52.82,1.4536,48.73
82,1.3073,52.64,1.4554,48.89
83,1.3001,52.96,1.4384,48.81
84,1.3012,52.79,1.4417,49.46
85,1.2997,53.10,1.4497,48.88
86,1.2954,53.27,1.4492,48.90
87,1.2952,53.13,1.4470,49.08
88,1.2946,53.47,1.4332,49.08
89,1.2940,53.19,1.4333,49.66
90,1.2947,53.11,1.4513,49.11
91,1.2945,53.37,1.4157,50.10
92,1.2870,53.48,1.4358,49.70
93,1.2868,53.81,1.4300,49.68
94,1.2879,53.44,1.4351,49.56
95,1.2845,53.75,1.4555,48.71
96,1.2800,53.70,1.4322,49.28
97,1.2790,53.78,1.4462,49.17
98,1.2750,53.98,1.4404,49.08
99,1.2751,53.92,1.4205,49.95
