epoch,train_loss,train_acc,val_loss,val_acc
0,2.0298,23.92,1.9342,27.53
1,1.8382,30.84,1.9085,30.00
2,1.7634,33.56,1.8623,32.32
3,1.7046,35.91,1.7855,34.24
4,1.6680,37.51,1.7270,36.13
5,1.6318,39.36,1.7038,37.96
6,1.6011,40.80,1.6709,38.96
7,1.5742,41.85,1.7201,37.09
8,1.5473,42.88,1.6818,39.16
9,1.5239,44.15,1.6657,40.75
10,1.4976,45.03,1.6010,42.19
11,1.4824,45.77,1.5683,43.50
12,1.4678,46.41,1.5850,43.10
13,1.4524,46.85,1.5421,44.43
14,1.4278,47.59,1.5330,45.14
15,1.4209,48.21,1.5232,45.03
16,1.4028,49.05,1.5199,44.95
17,1.4030,48.93,1.4752,46.96
18,1.3834,49.75,1.4508,47.71
19,1.3705,50.16,1.4578,47.59
20,1.3613,50.66,1.4352,48.77
21,1.3522,50.58,1.4333,48.72
22,1.3394,51.41,1.4199,48.54
23,1.3328,51.42,1.4260,48.39
24,1.3198,52.38,1.3863,50.54
25,1.3120,52.24,1.4371,48.72
26,1.3042,52.69,1.3999,50.17
27,1.2951,53.12,1.3938,50.18
28,1.2900,53.39,1.3762,50.52
29,1.2764,53.75,1.3472,51.89
30,1.2760,53.93,1.3701,50.63
31,1.2679,54.03,1.3619,51.80
32,1.2607,54.30,1.3746,51.00
33,1.2566,54.37,1.3479,51.57
34,1.2484,54.91,1.3539,51.90
35,1.2344,55.15,1.3878,50.63
36,1.2303,55.61,1.3407,52.86
37,1.2266,55.47,1.3127,53.63
38,1.2176,55.99,1.3241,53.51
39,1.2147,56.25,1.3355,52.34
40,1.2074,56.47,1.3447,52.72
41,1.1984,56.59,1.2818,53.99
42,1.2016,56.50,1.3040,53.51
43,1.1946,56.83,1.3042,53.78
44,1.1857,57.24,1.2817,54.53
45,1.1862,57.28,1.2805,54.85
46,1.1688,57.94,1.2802,54.93
47,1.1763,57.56,1.2710,55.15
48,1.1670,58.16,1.2419,55.64
49,1.1630,58.04,1.2599,55.61
50,1.1524,58.41,1.2784,54.87
51,1.1520,58.53,1.2507,55.85
52,1.1495,58.51,1.2386,55.60
53,1.1454,58.78,1.2531,56.25
54,1.1341,59.01,1.2914,54.84
55,1.1357,59.00,1.2451,56.57
56,1.1303,59.30,1.2199,57.20
57,1.1248,59.45,1.2476,56.49
58,1.1175,59.73,1.2191,56.94
59,1.1212,59.56,1.2346,56.56
60,1.1074,60.09,1.2187,57.07
61,1.1103,60.06,1.2436,56.59
62,1.1039,60.25,1.2212,56.73
63,1.1028,60.30,1.2240,57.30
64,1.1001,60.46,1.2171,57.43
65,1.0907,60.54,1.2253,57.04
66,1.0928,60.59,1.2006,57.89
67,1.0861,61.02,1.1817,58.03
68,1.0814,61.17,1.2079,57.49
69,1.0757,61.19,1.2007,58.31
70,1.0724,61.39,1.2070,57.98
71,1.0732,61.31,1.1805,58.14
72,1.0639,61.81,1.2065,57.67
73,1.0594,61.60,1.1742,58.39
74,1.0633,61.61,1.1992,58.61
75,1.0617,61.95,1.1656,59.25
76,1.0522,62.16,1.1827,58.14
77,1.0537,61.95,1.1533,59.44
78,1.0510,62.21,1.1598,59.02
79,1.0440,62.49,1.1713,59.06
80,1.0398,62.62,1.1595,59.53
81,1.0368,62.90,1.1612,59.84
82,1.0370,62.83,1.1556,59.57
83,1.0334,62.80,1.1473,60.11
84,1.0316,62.73,1.1419,60.29
85,1.0267,62.93,1.1618,59.85
86,1.0200,63.63,1.1459,59.72
87,1.0152,63.69,1.1548,59.99
88,1.0194,63.30,1.1630,59.85
89,1.0093,63.52,1.1550,59.93
90,1.0079,64.06,1.1503,60.00
91,1.0077,63.51,1.1227,60.97
92,1.0024,64.05,1.1406,60.80
93,1.0001,64.18,1.1440,59.83
94,1.0008,63.86,1.1333,60.36
95,0.9905,64.30,1.1320,60.16
96,0.9894,64.91,1.1095,61.70
97,0.9895,64.29,1.1144,60.80
98,0.9883,64.42,1.1421,60.36
99,0.9921,64.05,1.1193,60.92
