epoch,train_loss,train_acc,val_loss,val_acc
0,2.2497,17.27,2.1676,19.39
1,2.1262,21.59,2.0518,21.32
2,2.0234,24.62,1.9698,24.90
3,1.9430,28.11,1.9106,26.25
4,1.8785,29.70,1.8648,27.79
5,1.8239,31.41,1.8137,29.87
6,1.7831,32.90,1.7802,31.36
7,1.7490,33.91,1.7882,31.14
8,1.7293,34.77,1.7636,32.20
9,1.7062,35.49,1.7749,33.16
10,1.6904,35.95,1.7327,34.18
11,1.6769,36.29,1.7107,35.51
12,1.6655,36.70,1.7049,35.17
13,1.6573,37.29,1.7097,35.78
14,1.6468,37.98,1.7040,35.79
15,1.6336,38.39,1.7023,35.88
16,1.6273,38.32,1.6946,36.82
17,1.6138,39.29,1.7126,37.09
18,1.6080,39.22,1.6763,37.45
19,1.5997,39.82,1.6819,38.24
20,1.5914,40.01,1.6630,38.22
21,1.5898,40.59,1.6624,38.64
22,1.5842,40.48,1.6557,38.09
23,1.5766,40.94,1.6421,39.36
24,1.5667,41.54,1.6731,38.28
25,1.5610,41.87,1.6273,39.83
26,1.5502,42.17,1.6462,39.58
27,1.5497,42.11,1.6528,39.76
28,1.5451,42.36,1.6235,40.53
29,1.5368,42.79,1.6224,41.28
30,1.5295,43.37,1.6419,40.54
31,1.5256,43.28,1.6307,40.88
32,1.5234,43.21,1.6229,41.31
33,1.5152,43.70,1.6109,41.61
34,1.5126,44.15,1.6180,41.73
35,1.5077,44.59,1.6023,41.94
36,1.5083,44.17,1.6114,42.20
37,1.5025,44.31,1.6033,42.37
38,1.4985,44.63,1.6168,41.72
39,1.4916,44.91,1.6087,41.96
40,1.4873,45.30,1.6211,41.82
41,1.4877,45.45,1.5978,42.70
42,1.4771,45.56,1.6086,42.53
43,1.4810,45.51,1.6062,42.86
44,1.4732,45.66,1.5847,42.97
45,1.4689,46.24,1.5630,43.51
46,1.4668,46.14,1.5953,43.09
47,1.4643,46.25,1.5829,43.56
48,1.4629,46.50,1.5986,42.65
49,1.4576,46.75,1.6076,42.44
50,1.4560,46.67,1.5861,42.61
51,1.4529,46.76,1.5791,43.10
52,1.4463,46.90,1.5955,43.31
53,1.4477,47.05,1.5993,43.18
54,1.4418,47.05,1.6030,43.38
55,1.4447,47.15,1.5926,43.62
56,1.4403,47.37,1.5775,43.56
57,1.4366,47.58,1.5678,44.26
58,1.4317,47.61,1.5669,44.05
59,1.4341,47.88,1.5602,44.43
60,1.4283,48.02,1.6030,42.68
61,1.4279,47.78,1.5552,44.73
62,1.4311,47.54,1.5552,44.91
63,1.4203,48.09,1.5461,44.35
64,1.4289,48.10,1.5715,44.38
65,1.4168,48.37,1.5519,44.37
66,1.4138,48.50,1.5526,44.74
67,1.4123,48.65,1.5586,44.73
68,1.4115,48.57,1.5705,44.03
69,1.4122,48.64,1.5531,44.50
70,1.4084,48.72,1.5684,44.96
71,1.4087,48.67,1.5496,45.07
72,1.4005,49.24,1.5537,44.58
73,1.4012,49.08,1.5791,43.70
74,1.3981,49.05,1.5355,45.43
75,1.3997,49.19,1.5248,46.24
76,1.3923,49.28,1.5304,45.48
77,1.3941,49.04,1.5246,45.57
78,1.3875,49.63,1.5912,44.69
79,1.3962,49.42,1.5430,45.92
80,1.3887,49.65,1.5470,45.51
81,1.3844,49.75,1.5350,45.62
82,1.3891,49.42,1.5373,45.55
83,1.3840,49.95,1.5619,45.43
84,1.3860,49.42,1.5517,45.99
85,1.3824,49.74,1.5525,45.51
86,1.3745,50.10,1.5516,45.46
87,1.3785,49.83,1.5480,45.76
88,1.3759,50.21,1.5221,46.06
89,1.3732,50.07,1.5710,45.41
90,1.3720,50.03,1.5212,46.69
91,1.3700,50.45,1.5311,46.07
92,1.3688,50.31,1.5491,45.88
93,1.3634,50.74,1.5266,46.18
94,1.3679,50.33,1.5555,46.27
95,1.3682,50.42,1.4996,46.72
96,1.3717,50.28,1.5251,46.74
97,1.3604,50.64,1.5607,46.10
98,1.3610,50.68,1.5044,46.50
99,1.3576,50.65,1.5498,46.04
