epoch,train_loss,train_acc,val_loss,val_acc
0,1.9775,25.60,1.8355,30.90
1,1.7840,32.67,1.7512,34.21
2,1.7003,35.96,1.6929,37.87
3,1.6283,39.56,1.5945,42.02
4,1.5662,42.34,1.5561,43.70
5,1.5174,44.26,1.4731,46.48
6,1.4630,46.76,1.4439,47.55
7,1.4292,48.12,1.3835,50.54
8,1.3914,49.45,1.4099,49.44
9,1.3719,50.41,1.3432,51.60
10,1.3513,50.88,1.3072,52.98
11,1.3276,51.67,1.2779,53.86
12,1.3084,52.80,1.2605,54.48
13,1.2829,53.63,1.2492,54.49
14,1.2658,54.21,1.2119,56.18
15,1.2516,54.81,1.1947,56.46
16,1.2303,55.59,1.1676,58.13
17,1.2199,56.07,1.1572,58.51
18,1.2007,56.80,1.1349,59.34
19,1.1951,56.76,1.1169,59.88
20,1.1754,58.02,1.1084,60.10
21,1.1678,57.54,1.1244,60.22
22,1.1592,58.41,1.1009,60.57
23,1.1479,58.53,1.0827,61.13
24,1.1337,59.12,1.0613,62.01
25,1.1256,59.59,1.0631,61.68
26,1.1135,59.95,1.0477,62.23
27,1.1055,60.29,1.0529,62.26
28,1.0965,60.59,1.0222,63.31
29,1.0833,60.91,1.0299,63.00
30,1.0710,61.37,1.0403,62.73
31,1.0706,61.63,1.0041,63.33
32,1.0606,61.88,0.9991,63.63
33,1.0516,62.09,0.9837,64.38
34,1.0459,62.38,1.0097,63.87
35,1.0323,62.71,0.9823,64.63
36,1.0264,63.30,0.9737,64.87
37,1.0195,63.15,0.9803,64.32
38,1.0136,63.60,0.9820,64.88
39,1.0082,63.72,0.9499,65.87
40,1.0007,64.44,0.9592,65.53
41,0.9958,64.35,0.9476,66.03
42,0.9875,64.59,0.9768,65.56
43,0.9861,64.70,0.9366,66.43
44,0.9717,65.22,0.9550,65.78
45,0.9706,65.15,0.9290,66.77
46,0.9688,64.86,0.9363,66.22
47,0.9533,65.67,0.9136,67.55
48,0.9579,65.86,0.9159,66.33
49,0.9461,66.19,0.9197,66.95
50,0.9455,66.03,0.9079,67.74
51,0.9384,66.35,0.9043,67.98
52,0.9317,66.64,0.9167,67.20
53,0.9217,66.84,0.8887,67.86
54,0.9207,66.98,0.8819,68.51
55,0.9090,67.75,0.8904,67.86
56,0.9072,67.49,0.8972,67.86
57,0.9002,67.59,0.8766,68.80
58,0.8971,67.83,0.8784,69.06
59,0.8931,67.66,0.8720,68.67
60,0.8863,68.20,0.8670,69.14
61,0.8826,68.30,0.8830,68.81
62,0.8790,68.71,0.8722,69.13
63,0.8725,68.67,0.8571,69.65
64,0.8694,68.92,0.8694,69.19
65,0.8657,69.00,0.8417,69.93
66,0.8647,68.88,0.8283,69.89
67,0.8583,69.26,0.8795,68.90
68,0.8468,69.66,0.8306,70.57
69,0.8545,69.29,0.8259,70.11
70,0.8426,69.91,0.8164,70.84
71,0.8357,70.36,0.8321,70.49
72,0.8272,70.23,0.8401,70.59
73,0.8256,70.39,0.8166,70.72
74,0.8321,70.22,0.8094,71.00
75,0.8099,70.93,0.8229,71.05
76,0.8125,70.98,0.8226,70.55
77,0.8075,71.04,0.8142,71.41
78,0.8048,71.25,0.8152,71.08
79,0.8016,71.25,0.8181,71.32
80,0.7960,71.34,0.8076,71.60
81,0.7942,71.62,0.7966,72.04
82,0.7858,72.06,0.8033,71.33
83,0.7920,71.76,0.8089,71.22
84,0.7817,72.04,0.7938,71.13
85,0.7751,72.13,0.7987,71.98
86,0.7736,71.98,0.7985,71.80
87,0.7688,72.61,0.7919,71.82
88,0.7625,72.75,0.7806,72.23
89,0.7612,72.54,0.7904,72.18
90,0.7540,72.81,0.7920,71.92
91,0.7531,73.00,0.7987,72.22
92,0.7519,72.93,0.8050,72.22
93,0.7445,73.28,0.7954,71.90
94,0.7383,73.78,0.7793,72.45
95,0.7420,73.28,0.7654,72.15
96,0.7331,73.68,0.7753,73.03
97,0.7238,74.02,0.8007,71.99
98,0.7290,73.78,0.7560,73.39
99,0.7216,73.98,0.7508,73.42
