epoch,train_loss,train_acc,val_loss,val_acc
0,2.1406,20.47,2.1012,21.16
1,2.0959,21.62,2.1066,21.00
2,2.1044,20.49,2.1193,19.80
3,2.1157,19.67,2.1199,19.63
4,2.1228,19.24,2.1298,19.31
5,2.1289,18.76,2.1334,19.06
6,2.1333,18.72,2.1361,19.29
7,2.1345,18.71,2.1405,19.38
8,2.1369,18.78,2.1389,19.29
9,2.1379,18.72,2.1396,19.01
10,2.1413,18.71,2.1427,18.78
11,2.1426,18.75,2.1456,18.89
12,2.1454,18.66,2.1510,19.01
13,2.1487,18.68,2.1519,18.90
14,2.1507,18.77,2.1546,18.65
15,2.1524,18.68,2.1531,18.96
16,2.1542,18.76,2.1581,18.68
17,2.1524,18.55,2.1560,18.76
18,2.1491,18.55,2.1526,18.68
19,2.1470,18.56,2.1482,18.91
20,2.1454,18.59,2.1481,18.84
21,2.1432,18.73,2.1454,19.08
22,2.1417,18.64,2.1433,18.83
23,2.1416,18.58,2.1445,18.71
24,2.1408,18.63,2.1451,19.00
25,2.1399,18.79,2.1413,18.70
26,2.1392,18.66,2.1420,18.91
27,2.1381,18.74,2.1413,18.87
28,2.1401,18.68,2.1438,18.66
29,2.1392,18.66,2.1451,18.67
30,2.1391,18.79,2.1440,18.83
31,2.1394,18.69,2.1404,18.84
32,2.1381,18.60,2.1422,18.89
33,2.1389,18.59,2.1413,18.81
34,2.1384,18.65,2.1420,18.91
35,2.1375,18.78,2.1418,18.94
36,2.1387,18.70,2.1421,18.95
37,2.1395,18.61,2.1426,19.03
38,2.1374,18.66,2.1429,18.89
39,2.1412,18.75,2.1426,18.81
40,2.1410,18.70,2.1413,18.93
41,2.1420,18.59,2.1434,18.98
42,2.1438,18.73,2.1433,19.09
43,2.1416,18.59,2.1426,19.37
44,2.1418,18.70,2.1396,19.48
45,2.1403,18.69,2.1385,19.25
46,2.1419,18.69,2.1397,19.38
47,2.1400,18.54,2.1423,18.82
48,2.1411,18.66,2.1404,19.15
49,2.1394,18.68,2.1397,19.26
50,2.1402,18.71,2.1394,18.98
51,2.1415,18.67,2.1418,19.02
52,2.1408,18.59,2.1404,19.00
53,2.1399,18.78,2.1398,19.30
54,2.1398,18.66,2.1405,19.20
55,2.1377,18.71,2.1375,19.12
56,2.1382,18.70,2.1384,19.37
57,2.1388,18.68,2.1368,19.27
58,2.1409,18.64,2.1419,19.42
59,2.1383,18.75,2.1363,19.12
60,2.1393,18.68,2.1399,19.49
61,2.1375,18.72,2.1380,19.28
62,2.1373,18.74,2.1348,19.29
63,2.1386,18.88,2.1388,19.47
64,2.1364,18.64,2.1359,19.47
65,2.1381,18.71,2.1349,19.30
66,2.1384,18.76,2.1424,19.52
67,2.1375,18.74,2.1375,19.17
68,2.1355,18.70,2.1377,19.25
69,2.1377,18.57,2.1363,19.41
70,2.1395,18.66,2.1365,19.01
71,2.1366,18.74,2.1393,19.20
72,2.1370,18.78,2.1339,19.37
73,2.1372,18.67,2.1399,19.49
74,2.1379,18.76,2.1393,19.17
75,2.1383,18.66,2.1385,19.02
76,2.1392,18.66,2.1372,19.39
77,2.1384,18.76,2.1369,19.12
78,2.1386,18.58,2.1395,19.33
79,2.1391,18.67,2.1425,19.20
80,2.1379,18.73,2.1382,19.49
81,2.1372,18.66,2.1368,19.20
82,2.1383,18.69,2.1424,19.71
83,2.1366,18.68,2.1354,19.15
84,2.1375,18.78,2.1370,19.31
85,2.1368,18.77,2.1385,19.18
86,2.1371,18.70,2.1376,19.30
87,2.1379,18.73,2.1352,19.32
88,2.1376,18.66,2.1379,19.15
89,2.1383,18.67,2.1402,18.97
90,2.1381,18.64,2.1383,19.20
91,2.1390,18.86,2.1363,18.98
92,2.1377,18.61,2.1389,19.45
93,2.1374,18.69,2.1376,19.31
94,2.1384,18.90,2.1411,19.22
95,2.1386,18.66,2.1388,19.32
96,2.1384,18.53,2.1413,19.24
97,2.1381,18.68,2.1369,18.78
98,2.1388,18.84,2.1350,19.17
99,2.1373,18.77,2.1407,19.27
