epoch,train_loss,train_acc,val_loss,val_acc
0,2.1833,18.61,2.0096,25.57
1,1.9570,27.14,1.8690,29.62
2,1.8557,29.80,1.8473,29.59
3,1.8045,31.01,1.6973,33.06
4,1.7757,31.47,1.7607,29.70
5,1.7511,31.96,1.6838,32.17
6,1.7382,32.49,1.7524,29.30
7,1.7328,31.94,1.6941,31.63
8,1.7281,32.49,1.6985,30.48
9,1.7213,32.61,1.6933,30.31
10,1.7204,32.62,1.6460,31.93
11,1.7247,32.57,1.6697,32.25
12,1.7221,32.39,1.6677,31.20
13,1.7279,32.48,1.6960,30.65
14,1.7329,32.55,1.6769,32.06
15,1.7335,32.76,1.6497,32.73
16,1.7417,32.44,1.7440,30.64
17,1.7482,32.47,1.6964,32.11
18,1.7611,32.41,1.6668,32.96
19,1.7681,32.63,1.7087,31.93
20,1.7770,32.55,1.7522,31.27
21,1.7915,32.52,1.7359,31.56
22,1.8079,32.46,1.7438,31.23
23,1.8286,32.20,1.7765,29.64
24,1.8490,32.13,1.8198,31.95
25,1.8773,32.13,1.7883,32.02
26,1.9033,32.34,1.8025,30.95
27,1.9342,31.90,1.9235,32.73
28,1.9786,31.71,1.9689,32.26
29,2.0159,28.51,1.9881,27.23
30,2.0558,26.81,2.0332,25.19
31,2.1011,26.67,2.0816,28.47
32,2.1523,23.58,2.1436,20.91
33,2.1990,21.65,2.2118,22.08
34,2.2539,22.29,2.2724,23.21
35,2.2940,14.73,2.3017,9.90
36,2.3026,10.03,2.3027,9.90
37,2.3026,9.87,2.3026,9.90
38,2.3026,9.99,2.3026,9.90
39,2.3026,9.86,2.3026,9.90
40,2.3026,9.91,2.3026,9.81
41,2.3026,9.84,2.3026,9.81
42,2.3026,9.97,2.3026,9.81
43,2.3026,9.95,2.3026,9.81
44,2.3026,10.01,2.3026,9.81
45,2.3026,9.97,2.3026,9.81
46,2.3026,9.85,2.3026,9.81
47,2.3026,9.94,2.3026,9.81
48,2.3026,9.97,2.3026,9.81
49,2.3026,9.94,2.3026,9.81
50,2.3026,9.71,2.3026,9.84
51,2.3026,9.83,2.3026,9.81
52,2.3026,9.78,2.3026,9.81
53,2.3026,9.83,2.3026,9.81
54,2.3026,9.81,2.3026,9.81
55,2.3026,9.98,2.3026,9.84
56,2.3026,9.80,2.3026,9.86
57,2.3026,9.64,2.3026,9.86
58,2.3026,9.72,2.3026,9.84
59,2.3026,9.91,2.3026,9.84
60,2.3026,9.76,2.3026,9.84
61,2.3026,10.00,2.3026,9.84
62,2.3026,9.98,2.3026,9.84
63,2.3026,10.02,2.3026,9.81
64,2.3026,9.86,2.3026,9.81
65,2.3026,9.89,2.3026,9.81
66,2.3026,9.87,2.3026,9.81
67,2.3026,9.96,2.3026,9.81
68,2.3026,9.73,2.3026,9.81
69,2.3026,9.85,2.3026,9.81
70,2.3026,9.79,2.3026,9.81
71,2.3026,9.86,2.3026,9.84
72,2.3026,9.97,2.3026,9.81
73,2.3026,9.88,2.3026,9.81
74,2.3026,9.74,2.3026,9.81
75,2.3026,10.02,2.3026,9.81
76,2.3026,9.64,2.3026,9.81
77,2.3026,9.81,2.3026,9.81
78,2.3026,9.92,2.3026,9.81
79,2.3026,9.93,2.3026,9.81
80,2.3026,9.97,2.3026,9.81
81,2.3026,9.80,2.3026,9.81
82,2.3026,9.96,2.3026,9.81
83,2.3026,9.74,2.3026,9.81
84,2.3026,9.83,2.3026,9.81
85,2.3026,9.98,2.3026,9.81
86,2.3026,9.86,2.3026,9.81
87,2.3026,9.73,2.3026,9.84
88,2.3026,9.97,2.3026,9.81
89,2.3026,9.81,2.3026,9.84
90,2.3026,9.72,2.3026,9.81
91,2.3026,9.98,2.3026,9.81
92,2.3026,9.90,2.3026,9.81
93,2.3026,9.86,2.3026,9.84
94,2.3026,9.82,2.3026,9.84
95,2.3026,9.67,2.3026,9.81
96,2.3026,9.88,2.3026,9.84
97,2.3026,9.81,2.3026,9.81
98,2.3026,9.80,2.3026,9.84
99,2.3026,9.87,2.3026,9.81
