epoch,train_loss,train_acc,val_loss,val_acc
0,2.2506,20.08,2.1869,23.98
1,2.1546,24.20,2.0968,23.16
2,2.1078,22.46,2.0983,22.09
3,2.0990,20.21,2.0743,20.54
4,2.1018,19.34,2.0794,19.64
5,2.1071,18.79,2.0904,19.07
6,2.1109,18.98,2.1070,19.55
7,2.1127,19.21,2.0976,19.75
8,2.1135,19.62,2.0918,18.97
9,2.1179,19.67,2.1007,19.33
10,2.1236,19.57,2.0961,19.23
11,2.1266,19.70,2.1054,19.70
12,2.1326,19.59,2.1197,19.81
13,2.1388,19.87,2.1499,19.61
14,2.1478,19.77,2.1210,19.74
15,2.1529,20.06,2.1195,19.94
16,2.1602,19.94,2.1705,20.93
17,2.1680,20.04,2.1657,20.03
18,2.1767,19.95,2.1651,19.81
19,2.1882,19.68,2.1850,19.08
20,2.2028,20.05,2.1868,19.29
21,2.2147,19.93,2.2105,20.27
22,2.2299,20.14,2.2165,18.12
23,2.2461,19.57,2.2445,19.45
24,2.2570,17.13,2.2559,15.79
25,2.2698,16.52,2.2652,15.58
26,2.2808,16.30,2.2808,16.27
27,2.2911,15.89,2.2924,16.01
28,2.2983,14.06,2.3003,12.76
29,2.3019,10.35,2.3024,9.81
30,2.3026,9.99,2.3026,9.81
31,2.3026,10.05,2.3026,9.81
32,2.3026,10.05,2.3026,9.81
33,2.3026,10.05,2.3026,9.81
34,2.3026,9.94,2.3026,9.81
35,2.3026,9.99,2.3026,9.81
36,2.3026,9.95,2.3026,9.81
37,2.3026,9.91,2.3026,9.81
38,2.3026,9.87,2.3026,9.81
39,2.3026,9.96,2.3026,9.81
40,2.3026,9.78,2.3026,9.81
41,2.3026,9.87,2.3026,9.81
42,2.3026,9.87,2.3026,9.81
43,2.3026,9.90,2.3026,9.81
44,2.3026,9.84,2.3026,9.81
45,2.3026,9.83,2.3026,9.90
46,2.3026,9.90,2.3026,9.81
47,2.3026,9.96,2.3026,9.81
48,2.3026,9.72,2.3026,9.81
49,2.3026,9.93,2.3026,9.81
50,2.3026,9.90,2.3026,9.81
51,2.3026,9.83,2.3026,9.81
52,2.3026,9.87,2.3026,9.84
53,2.3026,9.73,2.3026,9.81
54,2.3026,9.87,2.3026,9.81
55,2.3026,9.77,2.3026,9.81
56,2.3026,9.88,2.3026,9.81
57,2.3026,9.92,2.3026,9.81
58,2.3026,9.84,2.3026,9.86
59,2.3026,9.69,2.3026,9.81
60,2.3026,9.66,2.3026,9.81
61,2.3026,10.02,2.3026,9.81
62,2.3026,9.90,2.3026,9.86
63,2.3026,9.98,2.3026,9.86
64,2.3026,9.97,2.3026,9.81
65,2.3026,9.84,2.3026,9.84
66,2.3026,9.82,2.3026,9.84
67,2.3026,9.83,2.3026,9.84
68,2.3026,9.82,2.3026,9.81
69,2.3026,9.97,2.3026,9.84
70,2.3026,9.91,2.3026,9.81
71,2.3026,9.83,2.3026,9.84
72,2.3026,9.79,2.3026,9.81
73,2.3026,9.74,2.3026,9.81
74,2.3026,9.76,2.3026,9.86
75,2.3026,9.84,2.3026,9.81
76,2.3026,9.80,2.3026,9.81
77,2.3026,9.81,2.3026,9.81
78,2.3026,9.77,2.3026,9.86
79,2.3026,9.96,2.3026,9.84
80,2.3026,9.88,2.3026,9.84
81,2.3026,9.78,2.3026,9.81
82,2.3026,9.79,2.3026,9.81
83,2.3026,9.90,2.3026,9.81
84,2.3026,9.58,2.3026,9.84
85,2.3026,9.80,2.3026,9.84
86,2.3026,9.82,2.3026,9.81
87,2.3026,9.88,2.3026,9.81
88,2.3026,9.79,2.3026,9.81
89,2.3026,9.70,2.3026,9.81
90,2.3026,10.02,2.3026,9.84
91,2.3026,9.80,2.3026,9.84
92,2.3026,9.80,2.3026,9.84
93,2.3026,9.66,2.3026,9.81
94,2.3026,9.70,2.3026,9.81
95,2.3026,9.88,2.3026,9.81
96,2.3026,9.89,2.3026,9.84
97,2.3026,9.93,2.3026,9.84
98,2.3026,9.99,2.3026,9.84
99,2.3026,9.80,2.3026,9.81
