epoch,train_loss,train_acc,val_loss,val_acc
0,2.1527,19.69,2.1015,21.52
1,2.1024,20.40,2.1008,20.34
2,2.1072,19.78,2.1086,19.48
3,2.1099,19.41,2.1155,19.03
4,2.1171,19.27,2.1126,18.76
5,2.1219,18.88,2.1221,18.66
6,2.1248,18.70,2.1240,18.55
7,2.1303,18.61,2.1331,18.49
8,2.1361,18.43,2.1315,18.47
9,2.1366,18.56,2.1341,18.76
10,2.1400,18.60,2.1347,18.57
11,2.1418,18.46,2.1431,18.62
12,2.1452,18.62,2.1451,18.55
13,2.1507,18.45,2.1490,18.43
14,2.1509,18.52,2.1517,18.61
15,2.1548,18.48,2.1579,18.61
16,2.1595,18.53,2.1622,18.59
17,2.1651,18.53,2.1641,18.47
18,2.1706,18.55,2.1693,18.48
19,2.1749,18.39,2.1759,18.62
20,2.1784,18.39,2.1786,18.38
21,2.1812,18.35,2.1820,18.40
22,2.1800,18.36,2.1781,18.33
23,2.1756,18.29,2.1666,18.29
24,2.1648,18.37,2.1570,18.29
25,2.1572,18.23,2.1556,18.45
26,2.1531,18.30,2.1478,18.45
27,2.1481,18.44,2.1444,18.40
28,2.1448,18.51,2.1437,18.52
29,2.1444,18.55,2.1424,18.65
30,2.1416,18.57,2.1388,18.62
31,2.1407,18.50,2.1385,18.50
32,2.1399,18.58,2.1376,18.60
33,2.1402,18.63,2.1353,18.63
34,2.1389,18.52,2.1369,18.79
35,2.1376,18.60,2.1388,18.79
36,2.1390,18.56,2.1374,18.67
37,2.1395,18.59,2.1372,18.52
38,2.1379,18.51,2.1347,18.69
39,2.1382,18.76,2.1357,18.77
40,2.1393,18.60,2.1389,18.69
41,2.1368,18.62,2.1368,18.57
42,2.1357,18.71,2.1329,18.83
43,2.1345,18.77,2.1335,18.69
44,2.1344,18.61,2.1334,18.85
45,2.1301,18.84,2.1250,18.78
46,2.1301,18.78,2.1267,18.84
47,2.1282,18.79,2.1247,18.90
48,2.1273,18.73,2.1267,18.88
49,2.1264,18.84,2.1228,19.07
50,2.1250,19.01,2.1190,19.00
51,2.1241,18.73,2.1200,19.16
52,2.1226,19.04,2.1141,19.24
53,2.1201,18.91,2.1152,19.17
54,2.1185,18.98,2.1160,19.07
55,2.1167,19.03,2.1101,19.11
56,2.1151,18.87,2.1105,19.14
57,2.1165,19.00,2.1093,19.06
58,2.1124,19.02,2.1065,19.26
59,2.1122,19.02,2.1141,19.29
60,2.1092,19.08,2.1078,19.04
61,2.1104,19.10,2.1036,19.01
62,2.1070,19.06,2.1047,19.15
63,2.1101,19.10,2.1104,18.97
64,2.1068,19.07,2.1031,19.42
65,2.1045,19.18,2.0996,19.09
66,2.1047,18.98,2.1038,19.03
67,2.1043,19.02,2.0989,19.25
68,2.1031,19.14,2.0955,19.21
69,2.1056,18.97,2.0993,19.24
70,2.1042,18.97,2.1018,19.29
71,2.1031,19.20,2.0957,19.17
72,2.1020,19.11,2.0970,19.25
73,2.1011,19.09,2.0969,19.34
74,2.1014,19.11,2.0921,19.03
75,2.0996,19.08,2.0944,19.21
76,2.0989,19.08,2.0936,19.32
77,2.0962,18.94,2.0944,19.14
78,2.1002,18.93,2.0913,19.24
79,2.1009,19.14,2.0941,19.30
80,2.0990,18.98,2.0924,18.88
81,2.0980,19.05,2.0905,19.03
82,2.0975,18.98,2.0887,19.28
83,2.0969,19.08,2.1004,18.75
84,2.0952,19.01,2.0859,19.27
85,2.0951,19.14,2.0891,19.17
86,2.0976,19.11,2.0885,19.21
87,2.0945,19.23,2.0825,19.19
88,2.0952,19.10,2.0843,19.35
89,2.0951,19.09,2.0864,19.28
90,2.0933,19.14,2.0878,19.22
91,2.0976,19.07,2.0914,19.34
92,2.0953,19.20,2.0879,19.17
93,2.0963,19.16,2.0889,19.30
94,2.0974,18.98,2.0859,19.14
95,2.0985,19.02,2.0882,19.31
96,2.0976,19.17,2.0852,19.16
97,2.0945,19.15,2.0886,19.29
98,2.0977,19.00,2.0936,19.39
99,2.0964,19.05,2.0848,19.25
