epoch,train_loss,train_acc,val_loss,val_acc
0,2.2786,13.20,2.2009,18.31
1,2.1529,17.99,2.0640,16.94
2,2.0796,18.95,2.0204,17.85
3,2.0474,18.55,2.0182,17.91
4,2.0278,19.39,1.9967,20.08
5,2.0138,19.34,1.9798,19.34
6,2.0038,19.76,1.9761,19.29
7,1.9973,19.75,1.9592,19.26
8,1.9940,19.83,1.9473,19.26
9,1.9924,20.00,1.9499,19.27
10,1.9906,19.91,1.9450,19.24
11,1.9922,19.73,1.9470,19.30
12,1.9930,19.88,1.9474,19.16
13,1.9959,19.80,1.9709,19.44
14,1.9999,19.96,1.9525,19.26
15,2.0040,19.78,1.9664,19.62
16,2.0094,19.93,1.9907,19.59
17,2.0169,19.87,1.9674,18.94
18,2.0244,19.88,1.9670,19.26
19,2.0295,19.76,2.0299,19.52
20,2.0387,19.80,1.9999,19.20
21,2.0482,19.96,2.0152,19.22
22,2.0600,19.98,2.0189,19.30
23,2.0718,19.83,2.0497,19.40
24,2.0851,19.95,2.0375,19.39
25,2.0993,20.34,2.0775,19.50
26,2.1170,20.43,2.0885,19.54
27,2.1392,20.75,2.1136,19.78
28,2.1605,20.72,2.1403,20.18
29,2.1881,21.08,2.1815,20.98
30,2.2154,21.55,2.2268,21.48
31,2.2459,21.21,2.2560,21.45
32,2.2716,17.60,2.2768,17.17
33,2.2924,15.06,2.2962,14.59
34,2.3011,10.93,2.3025,9.81
35,2.3026,9.84,2.3026,9.81
36,2.3026,9.92,2.3026,9.81
37,2.3026,9.98,2.3026,9.81
38,2.3026,10.05,2.3026,9.81
39,2.3026,9.99,2.3026,9.81
40,2.3026,9.96,2.3026,9.81
41,2.3026,9.95,2.3026,9.81
42,2.3026,10.05,2.3026,9.81
43,2.3026,9.78,2.3026,9.81
44,2.3026,9.80,2.3026,9.81
45,2.3026,9.95,2.3026,9.81
46,2.3026,9.82,2.3026,9.81
47,2.3026,9.92,2.3026,9.81
48,2.3026,9.75,2.3026,9.81
49,2.3026,9.75,2.3026,9.81
50,2.3026,9.82,2.3026,9.81
51,2.3026,9.75,2.3026,9.81
52,2.3026,9.80,2.3026,9.81
53,2.3026,9.93,2.3026,9.81
54,2.3026,9.93,2.3026,9.81
55,2.3026,9.82,2.3026,9.81
56,2.3026,9.77,2.3026,9.81
57,2.3026,9.62,2.3026,9.81
58,2.3026,9.90,2.3026,9.84
59,2.3026,9.95,2.3026,9.81
60,2.3026,9.90,2.3026,9.81
61,2.3026,9.99,2.3026,9.81
62,2.3026,9.94,2.3026,9.84
63,2.3026,9.79,2.3026,9.81
64,2.3026,9.85,2.3026,9.81
65,2.3026,9.73,2.3026,9.81
66,2.3026,9.78,2.3026,9.81
67,2.3026,9.96,2.3026,9.81
68,2.3026,9.94,2.3026,9.81
69,2.3026,9.91,2.3026,9.81
70,2.3026,9.80,2.3026,9.84
71,2.3026,9.74,2.3026,9.81
72,2.3026,9.76,2.3026,9.81
73,2.3026,10.02,2.3026,9.81
74,2.3026,9.96,2.3026,9.81
75,2.3026,9.73,2.3026,9.81
76,2.3026,9.86,2.3026,9.81
77,2.3026,9.88,2.3026,9.84
78,2.3026,9.91,2.3026,9.81
79,2.3026,9.85,2.3026,9.86
80,2.3026,9.79,2.3026,9.81
81,2.3026,9.93,2.3026,9.84
82,2.3026,9.76,2.3026,9.81
83,2.3026,9.83,2.3026,9.84
84,2.3026,9.78,2.3026,9.84
85,2.3026,9.92,2.3026,9.84
86,2.3026,9.92,2.3026,9.84
87,2.3026,9.73,2.3026,9.84
88,2.3026,9.78,2.3026,9.84
89,2.3026,10.06,2.3026,9.81
90,2.3026,9.84,2.3026,9.81
91,2.3026,9.81,2.3026,9.81
92,2.3026,10.05,2.3026,9.81
93,2.3026,9.79,2.3026,9.81
94,2.3026,9.88,2.3026,9.84
95,2.3026,9.97,2.3026,9.81
96,2.3026,9.90,2.3026,9.81
97,2.3026,9.93,2.3026,9.81
98,2.3026,9.86,2.3026,9.84
99,2.3026,9.85,2.3026,9.81
