epoch,train_loss,train_acc,val_loss,val_acc
0,2.2943,12.79,2.2722,16.40
1,2.2617,16.91,2.2315,16.99
2,2.2268,17.10,2.1962,15.94
3,2.1984,16.21,2.1858,15.84
4,2.1855,16.40,2.1611,16.58
5,2.1801,16.32,2.1586,17.91
6,2.1810,17.45,2.1522,17.97
7,2.1814,17.37,2.1533,18.21
8,2.1848,17.57,2.1795,18.27
9,2.1890,18.06,2.1735,18.02
10,2.1959,17.98,2.1813,19.03
11,2.2021,18.62,2.1852,18.70
12,2.2108,19.39,2.1930,18.16
13,2.2194,18.31,2.2011,18.71
14,2.2287,19.33,2.2122,19.42
15,2.2390,19.84,2.2430,19.27
16,2.2493,19.35,2.2498,18.01
17,2.2609,19.55,2.2624,19.15
18,2.2709,18.46,2.2707,18.08
19,2.2793,16.50,2.2738,14.18
20,2.2863,16.39,2.2844,15.07
21,2.2934,16.33,2.2938,15.97
22,2.2981,15.31,2.2987,15.33
23,2.3010,12.78,2.3015,12.15
24,2.3023,10.26,2.3024,9.81
25,2.3026,9.91,2.3026,9.81
26,2.3026,10.00,2.3026,9.81
27,2.3026,9.97,2.3026,9.81
28,2.3026,9.89,2.3026,9.81
29,2.3026,9.98,2.3026,9.81
30,2.3026,9.93,2.3026,9.81
31,2.3026,9.95,2.3026,9.81
32,2.3026,10.05,2.3026,9.81
33,2.3026,9.80,2.3026,9.81
34,2.3026,9.81,2.3026,9.84
35,2.3026,9.96,2.3026,9.84
36,2.3026,9.99,2.3026,9.84
37,2.3026,9.83,2.3026,9.84
38,2.3026,9.78,2.3026,9.81
39,2.3026,9.98,2.3026,9.84
40,2.3026,9.82,2.3026,9.81
41,2.3026,9.90,2.3026,9.84
42,2.3026,9.94,2.3026,9.84
43,2.3026,9.78,2.3026,9.84
44,2.3026,9.84,2.3026,9.84
45,2.3026,9.85,2.3026,9.84
46,2.3026,9.95,2.3026,9.81
47,2.3026,9.95,2.3026,9.81
48,2.3026,9.69,2.3026,9.86
49,2.3026,9.90,2.3026,9.81
50,2.3026,9.90,2.3026,9.84
51,2.3026,9.78,2.3026,9.90
52,2.3026,9.70,2.3026,9.84
53,2.3026,9.85,2.3026,9.86
54,2.3026,9.89,2.3026,9.86
55,2.3026,9.78,2.3026,9.86
56,2.3026,9.84,2.3026,9.81
57,2.3026,9.82,2.3026,9.81
58,2.3026,9.85,2.3026,9.86
59,2.3026,9.84,2.3026,9.86
60,2.3026,9.85,2.3026,9.86
61,2.3026,9.75,2.3026,9.81
62,2.3026,9.96,2.3026,9.86
63,2.3026,9.97,2.3026,9.84
64,2.3026,9.65,2.3026,9.81
65,2.3026,9.93,2.3026,9.84
66,2.3026,9.83,2.3026,9.81
67,2.3026,9.71,2.3026,9.81
68,2.3026,9.79,2.3026,9.84
69,2.3026,9.96,2.3026,9.84
70,2.3026,9.89,2.3026,9.86
71,2.3026,9.78,2.3026,9.86
72,2.3026,9.85,2.3026,9.81
73,2.3026,9.98,2.3026,9.81
74,2.3026,9.75,2.3026,9.81
75,2.3026,9.71,2.3026,9.81
76,2.3026,9.88,2.3026,9.81
77,2.3026,9.74,2.3026,9.81
78,2.3026,9.77,2.3026,9.81
79,2.3026,9.97,2.3026,9.86
80,2.3026,9.93,2.3026,9.81
81,2.3026,9.85,2.3026,9.81
82,2.3026,9.99,2.3026,9.84
83,2.3026,9.76,2.3026,9.84
84,2.3026,9.89,2.3026,9.81
85,2.3026,9.85,2.3026,9.81
86,2.3026,9.86,2.3026,9.81
87,2.3026,9.86,2.3026,9.81
88,2.3026,9.97,2.3026,9.81
89,2.3026,9.86,2.3026,9.84
90,2.3026,9.99,2.3026,9.81
91,2.3026,9.97,2.3026,9.81
92,2.3026,9.90,2.3026,9.81
93,2.3026,9.95,2.3026,9.81
94,2.3026,9.50,2.3026,9.81
95,2.3026,9.75,2.3026,9.81
96,2.3026,9.79,2.3026,9.81
97,2.3026,9.91,2.3026,9.81
98,2.3026,9.85,2.3026,9.81
99,2.3026,9.71,2.3026,9.90
