epoch,train_loss,train_acc,val_loss,val_acc
0,2.0850,22.71,2.0111,25.42
1,2.0167,25.91,2.0092,26.63
2,2.0186,25.28,2.0456,23.00
3,2.0293,23.67,2.0216,23.43
4,2.0363,23.17,2.0850,21.37
5,2.0411,22.70,2.0623,21.06
6,2.0453,22.40,2.0656,20.71
7,2.0501,22.41,2.0700,20.37
8,2.0554,22.08,2.0767,20.44
9,2.0656,21.64,2.0745,20.35
10,2.0744,21.37,2.0840,20.05
11,2.0861,21.11,2.1052,19.65
12,2.0981,20.84,2.1056,20.03
13,2.1054,20.46,2.1073,19.93
14,2.1136,19.89,2.1167,19.21
15,2.1226,19.17,2.1273,18.69
16,2.1329,18.40,2.1339,18.39
17,2.1406,18.07,2.1369,18.21
18,2.1458,18.07,2.1404,18.13
19,2.1492,18.06,2.1504,18.37
20,2.1535,18.11,2.1511,18.34
21,2.1589,18.02,2.1604,18.35
22,2.1635,18.06,2.1613,18.31
23,2.1664,18.05,2.1643,18.27
24,2.1635,18.04,2.1547,18.22
25,2.1543,18.10,2.1415,18.20
26,2.1409,18.09,2.1346,18.25
27,2.1350,18.07,2.1277,18.35
28,2.1266,18.13,2.1170,18.33
29,2.1200,18.07,2.1141,18.37
30,2.1181,18.11,2.1178,18.15
31,2.1155,18.21,2.1151,18.20
32,2.1162,18.17,2.1268,18.08
33,2.1144,18.36,2.1051,18.43
34,2.1128,18.36,2.1047,18.54
35,2.1098,18.31,2.1127,18.17
36,2.1115,18.36,2.1038,18.53
37,2.1101,18.45,2.1045,18.54
38,2.1102,18.48,2.1060,18.61
39,2.1105,18.45,2.1073,18.66
40,2.1117,18.36,2.1089,18.70
41,2.1120,18.40,2.1064,18.70
42,2.1078,18.55,2.1040,18.58
43,2.1094,18.54,2.1054,18.51
44,2.1070,18.48,2.1178,18.06
45,2.1037,18.49,2.0961,18.49
46,2.1004,18.48,2.0955,18.53
47,2.0943,18.45,2.0846,18.77
48,2.0887,18.47,2.0791,18.67
49,2.0835,18.43,2.0903,18.34
50,2.0832,18.50,2.0786,18.72
51,2.0817,18.56,2.0752,18.67
52,2.0791,18.45,2.0739,18.83
53,2.0761,18.51,2.0800,18.53
54,2.0759,18.44,2.0710,18.56
55,2.0807,18.43,2.0791,18.67
56,2.0768,18.44,2.0715,18.66
57,2.0765,18.42,2.0675,18.79
58,2.0719,18.41,2.0741,18.48
59,2.0741,18.31,2.0769,18.68
60,2.0733,18.32,2.0789,18.37
61,2.0741,18.43,2.0767,18.87
62,2.0752,18.26,2.0712,18.54
63,2.0718,18.42,2.0687,18.64
64,2.0728,18.34,2.0733,18.53
65,2.0735,18.31,2.0778,18.65
66,2.0740,18.35,2.0738,18.40
67,2.0727,18.42,2.0744,18.71
68,2.0706,18.52,2.0670,18.56
69,2.0723,18.25,2.0884,17.89
70,2.0693,18.41,2.0652,18.61
71,2.0695,18.34,2.0722,18.50
72,2.0711,18.35,2.0678,18.60
73,2.0679,18.35,2.0716,18.59
74,2.0688,18.29,2.0800,18.30
75,2.0682,18.34,2.0649,18.45
76,2.0696,18.29,2.0759,18.44
77,2.0683,18.34,2.0696,18.50
78,2.0703,18.40,2.0726,18.55
79,2.0697,18.37,2.0904,17.73
80,2.0693,18.31,2.0690,18.53
81,2.0695,18.27,2.0875,18.30
82,2.0671,18.46,2.0750,18.37
83,2.0658,18.36,2.0666,18.64
84,2.0672,18.42,2.0721,18.43
85,2.0667,18.43,2.0684,18.74
86,2.0651,18.40,2.0684,18.87
87,2.0649,18.59,2.0645,18.72
88,2.0658,18.44,2.0648,18.75
89,2.0646,18.37,2.0716,18.92
90,2.0629,18.45,2.0711,18.57
91,2.0613,18.50,2.0621,18.75
92,2.0603,18.48,2.0702,18.69
93,2.0600,18.46,2.0639,18.88
94,2.0596,18.45,2.0695,18.57
95,2.0602,18.49,2.0685,18.35
96,2.0601,18.39,2.0782,18.65
97,2.0574,18.44,2.0632,18.88
98,2.0582,18.41,2.0747,18.69
99,2.0558,18.53,2.0774,18.53
