epoch,train_loss,train_acc,val_loss,val_acc
0,2.0420,22.91,1.8325,30.55
1,1.7604,33.85,1.6438,39.84
2,1.6547,38.75,1.4910,44.34
3,1.5536,43.11,1.4167,46.04
4,1.4821,45.40,1.3596,48.09
5,1.4423,47.19,1.3516,46.77
6,1.4112,48.44,1.3284,48.70
7,1.3889,49.58,1.3024,49.79
8,1.3707,50.33,1.3466,49.23
9,1.3551,50.69,1.3654,48.30
10,1.3483,51.27,1.1915,54.93
11,1.3393,51.80,1.2505,51.80
12,1.3386,51.79,1.2163,55.06
13,1.3359,52.16,1.2492,53.69
14,1.3346,52.09,1.2599,54.46
15,1.3340,52.07,1.2732,51.01
16,1.3288,52.65,1.2599,53.60
17,1.3427,52.23,1.1966,54.80
18,1.3442,52.48,1.2208,54.67
19,1.3524,52.18,1.2595,53.45
20,1.3656,51.83,1.2235,55.05
21,1.3732,52.06,1.3029,51.31
22,1.3916,51.28,1.2940,52.57
23,1.4054,50.88,1.2841,51.35
24,1.4212,50.90,1.3293,52.12
25,1.4477,49.91,1.3629,50.24
26,1.4762,49.39,1.4379,49.02
27,1.5089,48.77,1.4726,45.63
28,1.5467,47.93,1.4918,46.01
29,1.5869,45.54,1.5283,42.75
30,1.6351,42.87,1.5475,43.16
31,1.6849,42.71,1.6474,42.87
32,1.7336,42.58,1.6855,42.55
33,1.7991,42.30,1.7473,41.24
34,1.8818,42.02,1.8764,43.50
35,1.9639,38.34,1.9587,37.63
36,2.0517,36.50,2.0799,37.59
37,2.1430,29.38,2.1682,26.09
38,2.2334,24.74,2.2647,22.42
39,2.2949,13.40,2.3025,10.05
40,2.3028,9.99,2.3026,10.05
41,2.3027,9.95,2.3026,9.81
42,2.3026,9.87,2.3026,9.81
43,2.3026,10.05,2.3026,9.81
44,2.3026,10.05,2.3026,9.81
45,2.3026,10.05,2.3026,9.81
46,2.3026,10.05,2.3026,9.81
47,2.3026,9.88,2.3026,9.81
48,2.3026,9.90,2.3026,9.81
49,2.3026,10.05,2.3026,9.81
50,2.3026,9.96,2.3026,9.81
51,2.3026,9.75,2.3026,9.81
52,2.3026,9.87,2.3026,9.81
53,2.3026,9.84,2.3026,9.81
54,2.3026,9.85,2.3026,9.84
55,2.3026,10.05,2.3026,9.81
56,2.3026,9.91,2.3026,9.81
57,2.3026,9.89,2.3026,9.81
58,2.3026,9.72,2.3026,9.81
59,2.3026,9.92,2.3026,9.84
60,2.3026,9.92,2.3026,9.84
61,2.3026,9.97,2.3026,9.81
62,2.3026,9.84,2.3026,9.81
63,2.3026,9.85,2.3026,9.84
64,2.3026,9.80,2.3026,9.90
65,2.3026,9.96,2.3026,9.81
66,2.3026,9.70,2.3026,9.81
67,2.3026,9.91,2.3026,9.81
68,2.3026,9.55,2.3026,9.81
69,2.3026,9.80,2.3026,9.81
70,2.3026,9.80,2.3026,9.81
71,2.3026,9.70,2.3026,9.81
72,2.3026,9.69,2.3026,9.81
73,2.3026,10.00,2.3026,9.81
74,2.3026,9.98,2.3026,9.81
75,2.3026,9.90,2.3026,9.81
76,2.3026,9.95,2.3026,9.84
77,2.3026,9.80,2.3026,9.84
78,2.3026,9.89,2.3026,9.81
79,2.3026,9.68,2.3026,9.81
80,2.3026,9.79,2.3026,9.81
81,2.3026,9.88,2.3026,9.90
82,2.3026,9.80,2.3026,9.81
83,2.3026,9.93,2.3026,9.81
84,2.3026,9.83,2.3026,9.81
85,2.3026,9.76,2.3026,9.81
86,2.3026,9.93,2.3026,9.81
87,2.3026,9.62,2.3026,9.81
88,2.3026,9.88,2.3026,9.81
89,2.3026,9.98,2.3026,9.81
90,2.3026,9.97,2.3026,9.81
91,2.3026,9.77,2.3026,9.90
92,2.3026,9.73,2.3026,9.84
93,2.3026,9.84,2.3026,9.81
94,2.3026,9.77,2.3026,9.81
95,2.3026,9.79,2.3026,9.81
96,2.3026,9.77,2.3026,9.81
97,2.3026,9.71,2.3026,9.81
98,2.3026,9.88,2.3026,9.81
99,2.3026,10.00,2.3026,9.81
