epoch,train_loss,train_acc,val_loss,val_acc
0,1.9421,31.63,1.7755,38.21
1,1.8020,36.11,1.7162,40.24
2,1.7829,36.76,1.7110,40.37
3,1.7717,37.22,1.7051,40.18
4,1.7692,37.81,1.6832,40.76
5,1.7594,38.07,1.7197,39.49
6,1.7633,38.10,1.7154,39.37
7,1.7597,38.42,1.6853,40.93
8,1.7667,38.20,1.7146,40.24
9,1.7628,38.20,1.6927,41.52
10,1.7680,38.08,1.7019,41.62
11,1.7674,38.58,1.7013,41.49
12,1.7694,38.51,1.7165,40.72
13,1.7749,38.42,1.7098,41.67
14,1.7869,38.27,1.7298,41.23
15,1.7899,38.20,1.7761,39.08
16,1.8023,37.91,1.7170,41.64
17,1.8028,38.54,1.7490,41.27
18,1.8168,37.82,1.7612,41.34
19,1.8259,38.05,1.8207,36.92
20,1.8432,37.67,1.8020,39.14
21,1.8496,38.00,1.8023,40.37
22,1.8661,37.63,1.8087,39.78
23,1.8857,37.03,1.8254,40.15
24,1.9024,36.96,1.8778,41.07
25,1.9256,36.38,1.8868,40.45
26,1.9459,36.33,1.9341,36.08
27,1.9723,35.50,1.9285,39.56
28,1.9971,34.88,1.9753,37.50
29,2.0265,33.93,2.0170,35.68
30,2.0538,33.44,2.0489,35.73
31,2.0842,32.59,2.0681,34.92
32,2.1131,31.89,2.0856,33.02
33,2.1446,30.64,2.1328,29.91
34,2.1746,30.23,2.1697,31.63
35,2.2037,29.41,2.1999,31.95
36,2.2308,28.29,2.2418,29.68
37,2.2557,24.45,2.2621,25.55
38,2.2754,22.64,2.2815,20.58
39,2.2901,17.17,2.2954,17.15
40,2.2992,14.82,2.3019,10.51
41,2.3025,10.10,2.3026,9.81
42,2.3026,9.97,2.3026,9.81
43,2.3026,10.05,2.3026,9.81
44,2.3026,10.05,2.3026,9.81
45,2.3026,9.98,2.3026,9.81
46,2.3026,9.90,2.3026,9.81
47,2.3026,10.05,2.3026,9.81
48,2.3026,9.71,2.3026,9.81
49,2.3026,9.82,2.3026,9.81
50,2.3026,9.94,2.3026,9.81
51,2.3026,9.87,2.3026,9.81
52,2.3026,9.75,2.3026,9.81
53,2.3026,10.05,2.3026,9.81
54,2.3026,9.83,2.3026,9.81
55,2.3026,9.87,2.3026,9.81
56,2.3026,9.85,2.3026,9.81
57,2.3026,9.86,2.3026,9.81
58,2.3026,9.83,2.3026,9.81
59,2.3026,9.90,2.3026,9.81
60,2.3026,9.85,2.3026,9.81
61,2.3026,9.95,2.3026,9.81
62,2.3026,9.84,2.3026,9.81
63,2.3026,9.98,2.3026,9.81
64,2.3026,9.93,2.3026,9.81
65,2.3026,9.88,2.3026,9.81
66,2.3026,9.83,2.3026,9.81
67,2.3026,9.86,2.3026,9.81
68,2.3026,9.84,2.3026,9.81
69,2.3026,9.86,2.3026,9.86
70,2.3026,9.95,2.3026,9.86
71,2.3026,9.79,2.3026,9.86
72,2.3026,9.82,2.3026,9.84
73,2.3026,9.82,2.3026,9.86
74,2.3026,9.84,2.3026,9.84
75,2.3026,9.82,2.3026,9.81
76,2.3026,9.79,2.3026,9.84
77,2.3026,9.88,2.3026,9.81
78,2.3026,9.68,2.3026,9.84
79,2.3026,9.65,2.3026,9.84
80,2.3026,9.73,2.3026,9.81
81,2.3026,9.69,2.3026,9.81
82,2.3026,9.85,2.3026,9.81
83,2.3026,9.90,2.3026,9.81
84,2.3026,9.81,2.3026,9.84
85,2.3026,9.88,2.3026,9.81
86,2.3026,9.72,2.3026,9.81
87,2.3026,9.81,2.3026,9.81
88,2.3026,9.98,2.3026,9.81
89,2.3026,9.83,2.3026,9.84
90,2.3026,9.83,2.3026,9.81
91,2.3026,9.65,2.3026,9.81
92,2.3026,9.84,2.3026,9.81
93,2.3026,9.91,2.3026,9.84
94,2.3026,9.70,2.3026,9.81
95,2.3026,9.86,2.3026,9.84
96,2.3026,9.76,2.3026,9.81
97,2.3026,9.86,2.3026,9.81
98,2.3026,9.84,2.3026,9.81
99,2.3026,9.82,2.3026,9.81
