epoch,train_loss,train_acc,val_loss,val_acc
0,2.1324,19.15,2.1220,21.02
1,2.0857,21.31,2.1138,21.16
2,2.0819,21.60,2.0401,23.77
3,2.0568,22.67,2.0180,25.47
4,2.0318,24.60,2.0463,25.05
5,2.0179,25.33,2.0237,24.57
6,2.0110,25.29,2.0095,25.35
7,2.0013,25.79,2.0111,26.05
8,2.0047,25.92,2.0166,25.17
9,1.9853,26.79,2.0150,25.78
10,1.9805,27.05,2.0222,26.17
11,1.9712,27.16,1.9709,27.71
12,1.9563,27.93,1.9690,27.81
13,1.9412,28.41,1.9798,28.15
14,1.9433,28.52,1.9717,29.10
15,1.9391,28.56,1.9472,29.13
16,1.9312,28.83,1.9478,28.88
17,1.9245,28.94,1.9362,30.13
18,1.9357,28.51,1.9653,29.20
19,1.9418,27.90,1.9525,28.26
20,1.9197,29.38,1.9240,29.49
21,1.9138,29.71,1.9434,28.99
22,1.9096,30.09,1.9339,28.70
23,1.8987,30.12,1.9185,29.53
24,1.8834,30.98,1.9659,28.47
25,1.8739,31.31,1.9227,29.78
26,1.8680,31.82,1.9359,29.70
27,1.8485,32.74,1.9118,30.68
28,1.8474,32.61,1.9185,30.20
29,1.8474,32.59,1.8995,31.24
30,1.8498,32.49,1.9255,29.68
31,1.8428,32.68,1.9018,30.16
32,1.8444,32.66,1.8929,31.33
33,1.8386,32.98,1.8795,31.35
34,1.8369,33.01,1.8906,31.75
35,1.8433,32.80,1.9393,29.81
36,1.8720,31.78,1.9207,30.25
37,1.8523,32.09,1.9091,30.72
38,1.8410,32.70,1.8950,31.20
39,1.8448,32.59,1.9349,30.60
40,1.8924,30.50,1.9012,30.29
41,1.8650,31.44,1.9139,30.79
42,1.8569,31.70,1.8949,31.52
43,1.8536,32.20,1.8995,31.03
44,1.8677,31.58,1.9084,30.59
45,1.8704,31.43,1.9010,30.55
46,1.8604,31.54,1.8908,30.65
47,1.8568,31.84,1.9177,30.89
48,1.8494,31.94,1.8841,32.13
49,1.8916,30.36,1.9016,30.03
50,1.8738,31.50,1.9084,29.96
51,1.8608,31.89,1.8952,31.05
52,1.8489,32.19,1.9093,30.73
53,1.8394,32.63,1.8657,32.25
54,1.8434,32.60,1.8981,31.47
55,1.8343,32.78,1.8567,31.97
56,1.8218,33.31,1.8654,32.34
57,1.8197,33.40,1.8705,32.36
58,1.8301,33.13,1.8787,31.65
59,1.8340,32.85,1.8810,31.32
60,1.8815,31.30,1.9303,30.75
61,1.8601,31.98,1.8950,30.87
62,1.8405,32.74,1.8778,30.84
63,1.8205,33.26,1.8929,31.59
64,1.8278,33.12,1.8838,31.31
65,1.8490,32.25,1.8694,32.20
66,1.8124,33.85,1.8750,32.17
67,1.8164,33.56,1.9245,31.01
68,1.8076,33.96,1.9882,28.02
69,1.8703,31.63,1.9142,29.61
70,1.8379,33.13,1.9126,31.31
71,1.8502,31.99,1.9222,30.07
72,1.8497,32.65,1.9307,29.02
73,1.8536,32.20,1.9056,30.26
74,1.8408,32.67,1.9194,30.01
75,1.8303,33.26,1.8938,30.64
76,1.8129,33.75,1.8794,31.39
77,1.8146,34.00,1.8793,31.57
78,1.8556,32.20,1.9474,28.33
79,1.9102,29.95,1.9125,30.04
80,1.8753,31.19,1.9195,29.13
81,1.8556,32.09,1.9082,29.96
82,1.8423,32.65,1.8938,30.62
83,1.8374,32.89,1.9017,30.80
84,1.8199,33.53,1.8961,30.95
85,1.8199,33.48,1.9212,30.84
86,1.8118,33.65,1.9044,30.55
87,1.8195,33.30,1.9227,30.48
88,1.8157,33.69,1.8820,32.07
89,1.8094,33.85,1.9372,29.39
90,1.8028,34.17,1.9175,30.13
91,1.8004,34.16,1.8914,30.78
92,1.8083,33.84,1.8983,30.51
93,1.8132,33.62,1.9071,30.12
94,1.8118,33.94,1.8957,30.62
95,1.7983,34.24,1.8907,30.89
96,1.7959,34.30,1.9149,30.08
97,1.8038,34.24,1.8866,30.81
98,1.7937,34.42,1.9010,31.00
99,1.8142,33.68,1.8933,31.09
