epoch,train_loss,train_acc,val_loss,val_acc
0,1.8657,28.16,1.8005,34.75
1,1.6371,37.85,1.6290,40.84
2,1.4551,45.99,1.3253,50.93
3,1.3335,51.02,1.3081,53.25
4,1.2469,54.89,1.2462,56.13
5,1.1797,57.51,1.1243,59.95
6,1.1321,59.45,1.0680,61.95
7,1.0841,61.46,1.0907,62.04
8,1.0456,62.67,1.0233,64.23
9,1.0095,64.42,0.9606,65.35
10,0.9737,65.52,0.8978,68.41
11,0.9457,66.64,0.9435,67.30
12,0.9265,67.12,0.8729,69.76
13,0.8972,68.41,0.8887,70.06
14,0.8824,69.07,0.8546,70.94
15,0.8623,69.66,0.8937,68.78
16,0.8477,70.02,0.8560,70.63
17,0.8398,70.43,0.9211,69.90
18,0.8121,71.65,0.7879,72.67
19,0.8106,71.86,0.7811,73.31
20,0.7935,72.41,0.8073,72.82
21,0.7826,72.70,0.7154,76.03
22,0.7682,73.52,0.8075,72.13
23,0.7611,73.58,0.7288,75.00
24,0.7541,73.92,0.7344,74.34
25,0.7346,74.52,0.7312,74.97
26,0.7369,74.49,0.7124,75.18
27,0.7201,74.99,0.7020,76.13
28,0.7140,75.22,0.6567,77.54
29,0.7033,75.36,0.6740,76.76
30,0.6994,75.81,0.7028,76.16
31,0.6946,76.28,0.6338,78.86
32,0.6918,76.14,0.6648,77.33
33,0.6832,76.40,0.6569,77.84
34,0.6789,76.57,0.6819,77.38
35,0.6743,76.78,0.6747,77.17
36,0.6679,76.99,0.6507,78.40
37,0.6620,77.16,0.6599,77.13
38,0.6574,77.21,0.6946,76.75
39,0.6509,77.58,0.6452,77.68
40,0.6463,77.95,0.6328,78.60
41,0.6419,77.81,0.6347,78.90
42,0.6354,77.79,0.6781,77.50
43,0.6376,78.14,0.6340,78.65
44,0.6313,77.96,0.5999,79.49
45,0.6212,78.33,0.6557,77.86
46,0.6287,77.97,0.6653,77.99
47,0.6198,78.61,0.6143,79.70
48,0.6197,78.58,0.5953,79.92
49,0.6123,78.65,0.6183,79.68
50,0.6098,79.01,0.6230,78.90
51,0.6091,78.92,0.6181,78.98
52,0.5955,79.34,0.6123,79.39
53,0.6046,78.95,0.6034,79.45
54,0.5962,79.40,0.5712,80.66
55,0.5969,79.28,0.6461,78.57
56,0.5883,79.72,0.6921,77.50
57,0.5881,79.71,0.5871,80.51
58,0.5858,79.88,0.5852,80.29
59,0.5863,79.82,0.5883,80.11
60,0.5786,80.17,0.5926,80.09
61,0.5770,79.94,0.5631,81.06
62,0.5788,79.97,0.5989,79.86
63,0.5793,79.91,0.5581,81.10
64,0.5675,80.44,0.5717,80.76
65,0.5686,80.46,0.5609,81.15
66,0.5722,80.13,0.6081,79.64
67,0.5652,80.53,0.5489,81.34
68,0.5674,80.23,0.6025,79.70
69,0.5637,80.61,0.5838,80.71
70,0.5616,80.79,0.5738,80.74
71,0.5572,80.80,0.5799,80.62
72,0.5521,80.92,0.6005,80.05
73,0.5544,80.87,0.5588,81.70
74,0.5599,80.92,0.5790,80.71
75,0.5460,81.24,0.5460,81.64
76,0.5471,81.06,0.5885,80.63
77,0.5447,81.06,0.5682,81.28
78,0.5488,81.01,0.6367,79.37
79,0.5447,81.31,0.5469,81.39
80,0.5430,81.35,0.5623,80.90
81,0.5405,81.14,0.5478,81.83
82,0.5379,81.35,0.5314,82.09
83,0.5436,81.31,0.5385,81.95
84,0.5407,81.24,0.5747,81.55
85,0.5436,81.25,0.5434,81.64
86,0.5327,81.50,0.5441,81.88
87,0.5275,81.79,0.5362,81.98
88,0.5265,81.80,0.5435,81.64
89,0.5319,81.49,0.5723,81.13
90,0.5260,81.80,0.5364,82.09
91,0.5264,81.76,0.5433,81.62
92,0.5189,82.09,0.5328,82.36
93,0.5221,81.91,0.5447,81.63
94,0.5177,82.14,0.5246,82.33
95,0.5212,81.99,0.5442,82.15
96,0.5214,82.22,0.5398,82.01
97,0.5123,82.37,0.5192,82.38
98,0.5081,82.46,0.5462,81.96
99,0.5149,82.13,0.5204,82.90
