epoch,train_loss,train_acc,val_loss,val_acc
0,1.9142,28.21,1.8033,33.77
1,1.7695,34.50,1.7713,33.96
2,1.6966,37.60,1.7466,35.37
3,1.6468,39.69,1.7286,37.11
4,1.6160,40.48,1.6543,39.90
5,1.5833,42.08,1.6833,40.03
6,1.5557,42.82,1.6141,41.29
7,1.5311,44.02,1.5961,41.90
8,1.5132,44.96,1.5771,43.81
9,1.5021,45.09,1.5700,43.83
10,1.4880,46.04,1.5715,44.03
11,1.4688,46.88,1.5835,42.67
12,1.4546,47.05,1.5359,44.80
13,1.4452,47.67,1.5693,43.53
14,1.4392,47.75,1.5435,44.87
15,1.4257,48.51,1.5177,46.09
16,1.4176,48.79,1.5417,45.22
17,1.4033,49.12,1.5244,44.76
18,1.4045,49.20,1.5069,46.00
19,1.3888,49.78,1.5300,45.25
20,1.3918,49.87,1.4921,46.82
21,1.3833,49.78,1.5503,45.90
22,1.3729,50.41,1.5313,45.47
23,1.3733,49.99,1.4917,46.70
24,1.3590,50.88,1.4832,46.87
25,1.3607,50.69,1.4904,46.84
26,1.3552,50.85,1.5089,46.37
27,1.3457,51.36,1.4602,47.84
28,1.3395,51.70,1.4654,47.56
29,1.3424,51.60,1.4700,47.55
30,1.3325,51.73,1.4619,47.80
31,1.3331,52.11,1.5488,46.20
32,1.3283,52.31,1.4229,49.73
33,1.3217,52.43,1.4583,48.03
34,1.3158,52.49,1.4421,48.44
35,1.3103,52.55,1.4958,47.80
36,1.3121,52.47,1.4505,48.17
37,1.3021,53.13,1.4386,48.57
38,1.2960,53.21,1.4779,48.13
39,1.3002,53.13,1.4338,49.14
40,1.2944,53.30,1.4363,48.78
41,1.2903,53.85,1.4867,47.54
42,1.2781,53.94,1.4484,48.92
43,1.2919,53.17,1.4705,47.79
44,1.2831,53.64,1.4426,48.28
45,1.2723,54.28,1.4529,49.10
46,1.2814,53.82,1.4076,49.71
47,1.2741,54.17,1.4301,48.55
48,1.2694,54.45,1.3929,49.93
49,1.2640,54.45,1.4273,48.90
50,1.2659,54.34,1.4306,49.40
51,1.2601,54.77,1.4044,50.50
52,1.2607,54.60,1.3971,49.97
53,1.2632,54.31,1.4133,48.85
54,1.2522,55.02,1.4403,49.36
55,1.2570,54.81,1.3818,50.96
56,1.2433,55.40,1.4096,49.99
57,1.2457,55.41,1.3936,50.31
58,1.2368,55.46,1.3793,50.71
59,1.2389,55.05,1.3868,50.84
60,1.2374,55.58,1.3947,50.45
61,1.2422,55.51,1.3797,51.15
62,1.2356,55.54,1.3671,51.26
63,1.2339,56.02,1.3814,51.28
64,1.2365,55.65,1.3685,51.45
65,1.2331,55.78,1.4011,50.34
66,1.2280,55.52,1.3664,50.86
67,1.2279,56.27,1.4111,51.09
68,1.2234,56.08,1.3623,51.40
69,1.2227,55.99,1.3813,50.86
70,1.2209,56.03,1.3758,51.33
71,1.2182,56.46,1.3610,51.41
72,1.2140,56.45,1.3934,50.42
73,1.2113,56.39,1.3635,51.50
74,1.2173,56.41,1.3918,51.08
75,1.2121,56.63,1.3685,51.76
76,1.2095,56.65,1.3514,51.67
77,1.2078,56.67,1.3501,52.19
78,1.2076,56.81,1.3615,51.55
79,1.2047,57.04,1.3732,52.05
80,1.2040,56.79,1.3666,51.62
81,1.1972,57.02,1.3928,51.06
82,1.2058,56.48,1.3470,52.00
83,1.1963,56.91,1.3734,52.17
84,1.1962,56.91,1.3432,52.02
85,1.1999,56.92,1.3398,52.56
86,1.1821,57.66,1.3894,51.00
87,1.1924,57.23,1.3838,51.19
88,1.1957,57.26,1.3649,51.95
89,1.1867,57.59,1.3499,52.59
90,1.1948,57.24,1.3376,53.27
91,1.1928,57.23,1.3415,52.42
92,1.1886,57.39,1.3992,51.00
93,1.1817,57.57,1.3295,52.93
94,1.1855,57.50,1.3862,51.51
95,1.1792,57.81,1.3680,52.29
96,1.1857,57.35,1.3418,52.91
97,1.1888,57.47,1.3516,52.50
98,1.1739,58.01,1.3297,53.51
99,1.1775,57.83,1.3217,52.87
