epoch,train_loss,train_acc,val_loss,val_acc
0,2.1658,18.42,2.1417,18.78
1,2.0788,21.24,2.0966,21.53
2,2.0531,22.41,2.0286,24.05
3,2.0357,23.45,2.0077,25.08
4,2.0292,23.62,1.9965,25.28
5,2.0450,22.71,2.0029,24.95
6,2.0355,22.89,2.0017,24.95
7,2.0266,23.75,2.0214,24.77
8,2.0220,23.93,2.0065,24.71
9,2.0212,23.83,1.9994,25.75
10,2.0046,24.61,1.9875,25.41
11,1.9871,25.25,1.9807,25.76
12,1.9914,24.80,1.9757,25.92
13,1.9751,26.27,1.9574,26.99
14,1.9661,26.55,1.9808,25.78
15,1.9583,26.30,1.9774,25.33
16,1.9635,26.34,1.9386,27.56
17,1.9609,26.68,1.9610,27.38
18,1.9558,25.99,1.9811,26.14
19,1.9604,26.58,1.9789,26.31
20,1.9786,25.78,2.0026,25.64
21,2.0245,23.68,2.0300,23.16
22,2.0164,24.32,1.9931,24.99
23,1.9977,25.05,1.9815,25.95
24,2.0340,23.79,2.0340,23.44
25,2.0348,23.29,1.9958,25.94
26,2.0150,24.02,1.9842,24.88
27,2.0117,24.56,1.9885,25.50
28,2.0098,24.34,1.9992,24.68
29,2.0106,24.50,2.0016,26.04
30,2.0050,24.72,1.9925,25.82
31,2.0121,24.45,2.0133,24.81
32,2.0064,24.45,2.0021,25.61
33,1.9964,24.88,2.0534,24.75
34,1.9955,25.11,1.9928,25.33
35,2.0143,24.20,1.9969,25.20
36,2.0121,24.27,2.0137,24.73
37,2.0138,24.23,2.0444,23.73
38,2.0283,23.85,2.0131,25.30
39,2.0221,24.07,1.9922,25.59
40,2.0113,24.81,2.0340,24.59
41,2.0123,24.26,2.0297,24.04
42,2.0195,24.29,1.9838,26.61
43,2.0102,24.56,1.9898,25.74
44,2.0205,24.15,2.0141,25.11
45,2.0132,24.49,1.9844,26.30
46,2.0084,24.82,1.9854,26.26
47,2.0115,24.93,2.0418,25.34
48,2.0250,24.07,2.0217,25.29
49,2.0037,25.02,1.9729,26.70
50,1.9976,25.38,2.0031,26.48
51,1.9902,25.97,1.9715,26.97
52,1.9920,25.33,2.0169,24.47
53,1.9890,25.78,1.9774,25.92
54,1.9810,26.24,1.9748,26.43
55,1.9788,26.01,1.9820,26.45
56,1.9711,26.09,2.0123,26.17
57,1.9691,26.39,1.9608,27.17
58,1.9655,26.60,1.9638,26.87
59,1.9608,26.72,1.9671,27.41
60,1.9688,26.34,1.9675,26.92
61,1.9701,26.21,1.9536,27.88
62,1.9767,26.23,1.9954,26.66
63,1.9722,26.32,1.9713,26.02
64,1.9692,26.60,1.9552,27.34
65,1.9634,26.61,1.9810,26.65
66,1.9553,27.09,1.9500,27.79
67,1.9671,26.49,1.9548,27.14
68,1.9647,26.61,1.9481,27.38
69,1.9782,25.89,2.0034,26.34
70,1.9886,25.60,2.0596,24.90
71,2.0186,24.64,2.0485,24.19
72,2.0217,24.25,2.0537,23.51
73,2.0363,23.26,2.0468,24.38
74,2.0235,24.09,2.0068,25.55
75,2.0151,24.16,2.1132,22.27
76,2.0220,24.23,2.0105,25.60
77,2.0151,24.34,2.0099,25.20
78,2.0032,24.88,2.0007,25.32
79,2.0031,24.95,2.0114,25.18
80,2.0043,24.81,2.0157,24.85
81,1.9926,25.16,1.9903,25.17
82,1.9912,25.28,2.0188,24.74
83,2.0078,24.86,2.0098,25.81
84,2.0108,24.43,2.0248,24.64
85,2.0057,24.91,1.9948,25.55
86,2.0021,24.95,1.9910,25.52
87,2.0050,24.84,1.9878,25.60
88,2.0044,24.85,1.9863,25.90
89,2.0033,25.18,2.0072,25.13
90,2.0011,24.98,1.9964,26.18
91,1.9892,25.29,1.9879,27.05
92,1.9829,25.86,1.9854,26.08
93,1.9733,26.25,1.9886,26.76
94,1.9793,26.00,1.9983,26.57
95,1.9789,26.25,1.9812,26.44
96,1.9919,25.63,2.0021,25.73
97,1.9951,25.73,2.0127,25.23
98,2.0010,25.55,1.9843,26.40
99,2.0107,25.02,2.0481,24.59
