epoch,train_loss,train_acc,val_loss,val_acc
0,1.9307,25.56,1.9100,29.67
1,1.7390,32.89,1.6965,35.50
2,1.6295,38.35,1.6927,37.43
3,1.5402,42.45,1.5456,44.16
4,1.4751,45.75,1.4689,46.01
5,1.4208,47.54,1.4132,48.62
6,1.3847,49.59,1.3473,50.55
7,1.3395,51.31,1.3198,51.60
8,1.3217,52.44,1.2814,54.07
9,1.2922,53.40,1.2764,54.21
10,1.2697,53.92,1.2776,54.54
11,1.2532,54.93,1.1995,56.85
12,1.2356,55.64,1.2409,55.56
13,1.2286,55.95,1.1987,57.60
14,1.2090,56.79,1.1909,57.02
15,1.1950,56.99,1.2307,56.67
16,1.1879,57.39,1.1518,58.97
17,1.1766,57.79,1.2030,57.94
18,1.1680,58.15,1.1139,59.86
19,1.1577,58.69,1.2108,56.56
20,1.1464,59.07,1.1075,60.39
21,1.1378,59.36,1.1599,58.49
22,1.1339,59.57,1.2345,56.92
23,1.1240,60.19,1.1207,60.32
24,1.1172,60.23,1.1379,59.86
25,1.1118,60.66,1.0563,62.29
26,1.1070,60.77,1.0644,62.06
27,1.1054,60.79,1.0680,63.21
28,1.0952,61.09,1.0883,61.77
29,1.0903,61.31,1.0784,62.65
30,1.0942,60.91,1.0540,62.51
31,1.0823,61.76,1.0688,62.52
32,1.0777,62.00,1.0628,62.98
33,1.0795,61.80,1.0605,63.12
34,1.0697,62.30,1.0400,63.16
35,1.0673,62.56,1.0705,62.09
36,1.0577,62.83,1.1215,61.61
37,1.0509,62.69,1.0181,64.34
38,1.0501,62.87,1.0531,63.36
39,1.0436,63.12,1.0626,62.41
40,1.0432,63.15,1.0322,63.78
41,1.0436,63.29,0.9986,64.63
42,1.0408,63.46,1.0336,64.10
43,1.0330,63.85,1.0920,62.81
44,1.0329,63.71,1.0417,63.67
45,1.0247,63.80,1.0114,64.08
46,1.0272,63.91,1.0279,64.48
47,1.0229,63.97,1.0826,62.73
48,1.0289,63.87,1.0290,64.26
49,1.0235,63.78,1.0202,64.64
50,1.0195,64.47,1.0943,62.69
51,1.0100,64.40,1.0251,64.53
52,1.0132,64.34,0.9967,65.66
53,1.0092,64.37,0.9785,65.67
54,1.0072,64.68,1.0034,64.93
55,1.0021,64.77,1.0163,64.57
56,1.0054,64.67,0.9672,66.54
57,0.9932,64.93,0.9902,65.91
58,0.9970,64.77,0.9797,65.20
59,0.9955,65.31,0.9733,65.86
60,0.9964,64.98,0.9938,65.49
61,0.9892,65.23,0.9982,65.17
62,0.9910,65.20,0.9407,67.10
63,0.9869,65.29,1.0003,65.52
64,0.9852,65.54,1.0078,64.50
65,0.9877,65.50,0.9925,65.96
66,0.9859,65.49,1.0321,64.94
67,0.9883,65.53,1.0064,65.37
68,0.9835,65.62,1.0231,64.94
69,0.9856,65.58,0.9678,66.14
70,0.9776,65.75,0.9598,66.87
71,0.9762,66.03,1.0042,64.98
72,0.9803,65.40,0.9797,65.88
73,0.9695,66.04,0.9633,66.58
74,0.9753,65.77,0.9722,66.96
75,0.9705,65.82,0.9591,67.39
76,0.9720,66.12,0.9559,66.58
77,0.9676,65.97,0.9467,67.43
78,0.9623,66.08,0.9676,66.47
79,0.9683,66.08,0.9422,66.92
80,0.9605,66.27,0.9655,66.77
81,0.9608,66.05,0.9536,66.80
82,0.9631,66.24,0.9967,65.82
83,0.9652,66.12,0.9450,67.20
84,0.9584,66.32,0.9158,67.64
85,0.9628,66.24,0.9451,67.50
86,0.9553,66.40,0.9570,67.20
87,0.9634,66.28,0.9273,67.35
88,0.9519,66.75,0.9177,68.12
89,0.9536,66.67,0.9312,67.90
90,0.9578,66.31,0.9441,67.59
91,0.9589,66.31,0.9852,66.48
92,0.9458,66.85,0.9572,66.69
93,0.9516,66.50,0.9254,68.37
94,0.9590,66.61,0.9175,67.67
95,0.9502,66.76,0.9201,68.51
96,0.9541,66.84,0.9153,67.92
97,0.9492,66.98,0.9248,68.26
98,0.9497,66.67,0.9350,67.00
99,0.9446,67.03,0.9734,67.55
