epoch,train_loss,train_acc,val_loss,val_acc
0,1.8771,27.96,1.8867,29.06
1,1.7171,34.96,1.7701,34.95
2,1.6484,38.11,1.7374,36.50
3,1.6014,40.77,1.7969,35.71
4,1.5525,43.02,1.7110,39.23
5,1.5183,44.20,1.7534,38.27
6,1.4916,45.24,1.7351,39.07
7,1.4715,45.98,1.6178,42.46
8,1.4552,47.09,1.6141,42.69
9,1.4404,47.43,1.6133,44.39
10,1.4308,47.94,1.5930,44.12
11,1.4160,48.20,1.6111,43.47
12,1.4042,48.70,1.5981,45.29
13,1.3975,49.01,1.5298,46.17
14,1.3828,49.88,1.4980,47.72
15,1.3732,50.18,1.5760,45.59
16,1.3667,50.35,1.7075,43.84
17,1.3558,50.66,1.5651,45.72
18,1.3485,51.04,1.4930,47.33
19,1.3426,51.32,1.5428,46.04
20,1.3399,51.23,1.4797,48.88
21,1.3286,51.91,1.4454,48.86
22,1.3237,52.31,1.4561,48.65
23,1.3223,52.42,1.4689,48.46
24,1.3191,52.25,1.4714,48.02
25,1.3084,52.73,1.4697,48.48
26,1.3040,52.86,1.4905,48.27
27,1.3048,52.78,1.4241,49.35
28,1.2924,53.21,1.4194,50.47
29,1.2939,53.06,1.4285,49.49
30,1.2889,53.45,1.4613,49.25
31,1.2786,53.95,1.4878,48.91
32,1.2824,53.64,1.4370,49.19
33,1.2760,53.91,1.4312,49.16
34,1.2752,54.18,1.4584,49.16
35,1.2756,53.86,1.4727,49.65
36,1.2695,54.20,1.4196,50.76
37,1.2725,53.94,1.4909,48.52
38,1.2633,54.07,1.3980,50.79
39,1.2597,54.37,1.4106,50.52
40,1.2594,54.48,1.4632,48.78
41,1.2533,54.66,1.4696,48.73
42,1.2491,54.63,1.4635,50.46
43,1.2544,54.71,1.4101,50.20
44,1.2497,54.98,1.4427,49.69
45,1.2473,55.00,1.4126,50.69
46,1.2425,54.99,1.4251,50.31
47,1.2448,54.77,1.3732,52.41
48,1.2459,55.08,1.4141,50.83
49,1.2381,55.26,1.3729,52.12
50,1.2362,55.38,1.4130,49.96
51,1.2306,55.75,1.3629,52.09
52,1.2319,55.55,1.3975,51.46
53,1.2258,55.90,1.3508,52.80
54,1.2297,55.83,1.3940,51.48
55,1.2317,55.65,1.3288,52.78
56,1.2270,55.78,1.3675,52.32
57,1.2248,55.56,1.4088,52.08
58,1.2241,55.84,1.3375,53.19
59,1.2227,55.83,1.3699,51.53
60,1.2217,56.16,1.3965,51.64
61,1.2239,55.96,1.3567,52.15
62,1.2237,56.08,1.4076,51.60
63,1.2106,56.54,1.3444,52.92
64,1.2216,55.74,1.4430,51.41
65,1.2171,55.98,1.3990,52.25
66,1.2110,56.38,1.3625,53.16
67,1.2054,56.64,1.3215,53.45
68,1.2117,56.34,1.3636,53.11
69,1.2090,56.42,1.3439,52.67
70,1.2064,56.67,1.3323,53.12
71,1.2083,56.53,1.3377,53.34
72,1.2020,56.76,1.3663,53.11
73,1.2026,56.69,1.3293,53.48
74,1.2004,56.66,1.3186,54.00
75,1.1999,56.92,1.3038,54.45
76,1.1972,56.88,1.3836,52.61
77,1.2047,56.74,1.3262,54.57
78,1.1954,57.15,1.4275,51.09
79,1.2020,57.15,1.3645,53.57
80,1.1988,56.63,1.3094,54.75
81,1.1927,57.17,1.3750,53.86
82,1.1988,57.16,1.3124,54.52
83,1.1881,57.39,1.3388,54.08
84,1.1962,57.08,1.3743,53.29
85,1.1920,57.08,1.3325,54.42
86,1.1866,57.42,1.3821,52.63
87,1.1891,57.58,1.3749,52.31
88,1.1819,57.59,1.3784,53.14
89,1.1834,57.71,1.3342,54.59
90,1.1832,57.42,1.3096,54.19
91,1.1885,57.09,1.3344,54.72
92,1.1827,57.49,1.3912,53.58
93,1.1798,57.71,1.3025,54.69
94,1.1784,57.64,1.3197,54.21
95,1.1835,57.68,1.3023,54.42
96,1.1813,57.59,1.3149,54.26
97,1.1786,57.56,1.3588,54.22
98,1.1799,57.63,1.3284,54.93
99,1.1742,58.18,1.3087,54.91
