epoch,train_loss,train_acc,val_loss,val_acc
0,2.1774,17.41,2.1059,18.88
1,2.1498,18.09,2.1112,18.88
2,2.1473,17.85,2.1298,17.25
3,2.1678,16.85,2.1052,19.14
4,2.1463,17.87,2.1393,17.57
5,2.1493,18.00,2.2283,15.81
6,2.1539,17.82,2.2129,15.95
7,2.1499,17.86,2.1286,19.01
8,2.1451,18.02,2.1477,17.36
9,2.1357,18.52,2.1015,18.73
10,2.1289,18.38,2.1412,18.37
11,2.1353,18.09,2.1175,18.74
12,2.1253,18.69,2.0858,19.94
13,2.1359,18.56,2.0777,19.89
14,2.1237,18.57,2.0735,20.13
15,2.1147,18.84,2.1015,18.81
16,2.1126,19.21,2.0782,20.11
17,2.1015,19.17,2.0682,19.45
18,2.1003,19.51,2.0638,20.34
19,2.0987,19.50,2.0639,20.24
20,2.1002,19.60,2.1154,18.85
21,2.1073,19.14,2.1067,18.30
22,2.1352,17.88,2.0894,19.57
23,2.1197,18.09,2.0894,19.18
24,2.1246,18.54,2.0846,19.47
25,2.1270,18.39,2.1107,19.67
26,2.1307,19.18,2.1145,18.82
27,2.1552,17.80,2.1585,17.27
28,2.1437,18.80,2.1103,19.93
29,2.1285,19.39,2.0837,20.97
30,2.1227,19.80,2.0825,21.61
31,2.1131,20.17,2.0769,21.60
32,2.1095,20.20,2.0800,21.86
33,2.1113,20.07,2.1295,19.63
34,2.1109,20.11,2.0762,21.67
35,2.0965,20.91,2.0577,22.12
36,2.0946,20.84,2.0878,21.45
37,2.1049,20.23,2.0670,21.40
38,2.0919,20.88,2.0546,23.29
39,2.0924,20.89,2.0616,23.05
40,2.0963,21.24,2.0734,21.48
41,2.0975,20.73,2.0856,20.50
42,2.1063,18.77,2.0879,19.63
43,2.1069,19.04,2.0902,20.54
44,2.1012,19.52,2.0840,20.92
45,2.0990,19.87,2.0694,21.32
46,2.0954,19.82,2.0887,19.52
47,2.0987,19.79,2.0716,20.37
48,2.0978,19.98,2.0653,20.99
49,2.0905,20.50,2.0800,20.79
50,2.1063,19.59,2.0892,19.56
51,2.1150,19.25,2.0812,20.24
52,2.1179,19.24,2.1074,19.03
53,2.1090,19.37,2.0925,19.64
54,2.1019,19.53,2.0766,20.10
55,2.0917,20.32,2.0581,20.83
56,2.1037,19.61,2.0740,21.03
57,2.0984,20.01,2.0703,21.07
58,2.0852,20.87,2.0456,21.89
59,2.0784,20.90,2.0586,20.33
60,2.0783,20.98,2.1012,19.14
61,2.0798,21.17,2.0594,21.38
62,2.0767,21.09,2.0585,22.39
63,2.0775,21.22,2.0979,20.36
64,2.0776,21.20,2.0462,21.67
65,2.0752,21.19,2.0671,21.52
66,2.0845,20.80,2.0719,20.16
67,2.0914,20.36,2.0540,21.65
68,2.0718,20.91,2.0366,22.82
69,2.0726,21.29,2.0465,21.92
70,2.0701,21.47,2.0402,21.72
71,2.0654,21.50,2.0455,22.15
72,2.0625,21.68,2.0590,21.64
73,2.0619,21.91,2.0320,22.62
74,2.0734,21.07,2.0509,21.97
75,2.0723,21.46,2.0430,22.10
76,2.0711,21.50,2.0530,22.26
77,2.0670,21.49,2.0557,20.55
78,2.0681,21.29,2.0566,20.77
79,2.0650,21.33,2.0340,21.54
80,2.0620,21.54,2.0432,21.57
81,2.0555,21.48,2.0252,22.67
82,2.0464,21.98,2.0082,23.00
83,2.0543,21.95,2.0144,23.28
84,2.0538,21.99,2.0388,22.54
85,2.0577,21.59,2.0353,22.71
86,2.0475,21.88,2.0055,22.66
87,2.0440,22.46,2.0039,23.72
88,2.0446,22.02,2.0034,23.93
89,2.0524,21.88,2.0132,23.69
90,2.0388,22.56,2.0141,23.40
91,2.0517,21.89,2.0196,23.49
92,2.0546,21.56,2.0049,24.25
93,2.0477,22.34,2.0132,24.00
94,2.0542,21.88,2.0125,23.43
95,2.0405,22.62,2.0023,24.16
96,2.0337,23.11,1.9928,24.34
97,2.0242,23.57,1.9970,24.71
98,2.0169,24.00,2.0073,24.85
99,2.0178,24.06,1.9936,24.26
