epoch,train_loss,train_acc,val_loss,val_acc
0,1.9271,26.33,1.6645,35.96
1,1.5922,40.69,1.3605,49.82
2,1.3552,50.22,1.2301,54.63
3,1.1677,58.20,1.0601,60.97
4,1.0370,63.08,0.8674,68.91
5,0.9413,67.08,0.9075,68.12
6,0.8470,70.32,0.7550,74.75
7,0.7773,73.05,0.6761,76.32
8,0.7178,75.15,0.6801,76.94
9,0.6750,76.62,0.6162,78.47
10,0.6446,77.70,0.5838,80.24
11,0.6071,78.90,0.5321,81.46
12,0.5885,79.83,0.5100,82.79
13,0.5526,81.02,0.4890,83.02
14,0.5338,81.62,0.5279,82.28
15,0.5220,82.25,0.4838,83.60
16,0.5118,82.34,0.5099,82.38
17,0.4876,83.27,0.4880,83.58
18,0.4736,83.55,0.4558,84.48
19,0.4547,84.23,0.4509,84.91
20,0.4526,84.25,0.4470,84.84
21,0.4434,84.73,0.3935,87.17
22,0.4279,84.95,0.4283,85.46
23,0.4139,85.68,0.4522,84.72
24,0.4075,85.84,0.4104,86.48
25,0.4046,85.98,0.4153,85.75
26,0.3918,86.42,0.4288,85.44
27,0.3854,86.55,0.4039,86.67
28,0.3732,87.03,0.3746,87.13
29,0.3708,86.92,0.4264,85.70
30,0.3585,87.42,0.4162,86.36
31,0.3553,87.66,0.3843,87.05
32,0.3475,87.89,0.3551,87.76
33,0.3456,88.08,0.3661,87.91
34,0.3357,88.33,0.3977,86.74
35,0.3319,88.48,0.3820,87.74
36,0.3212,88.98,0.3574,87.93
37,0.3215,88.69,0.3608,87.97
38,0.3169,89.00,0.3627,88.33
39,0.3093,89.08,0.3438,88.58
40,0.3089,89.08,0.3535,88.73
41,0.2966,89.73,0.3851,86.96
42,0.2930,89.86,0.3593,88.19
43,0.2936,89.73,0.3495,88.69
44,0.2873,89.91,0.3534,88.67
45,0.2865,89.93,0.3750,87.27
46,0.2856,89.98,0.3388,88.86
47,0.2776,90.22,0.3516,88.59
48,0.2723,90.48,0.3521,88.28
49,0.2710,90.65,0.3535,88.61
50,0.2639,90.79,0.3364,88.87
51,0.2649,90.69,0.3415,89.11
52,0.2597,90.92,0.3428,89.10
53,0.2607,90.87,0.3709,88.70
54,0.2592,90.81,0.4010,87.82
55,0.2523,91.39,0.3554,88.19
56,0.2512,91.10,0.3560,88.50
57,0.2542,91.02,0.3432,89.13
58,0.2414,91.59,0.3374,89.46
59,0.2497,91.27,0.3345,89.75
60,0.2341,91.75,0.3658,88.76
61,0.2340,91.79,0.3653,89.06
62,0.2425,91.48,0.3406,89.53
63,0.2317,92.00,0.3421,89.02
64,0.2336,91.83,0.3279,89.76
65,0.2309,92.02,0.3411,89.45
66,0.2247,92.22,0.3496,89.56
67,0.2232,92.20,0.3364,89.52
68,0.2215,92.27,0.3418,89.76
69,0.2232,92.06,0.3527,88.96
70,0.2209,92.21,0.3427,89.45
71,0.2196,92.26,0.3381,89.31
72,0.2111,92.58,0.3612,88.99
73,0.2169,92.34,0.3748,88.54
74,0.2102,92.41,0.3329,89.57
75,0.2090,92.67,0.3306,89.89
76,0.2067,92.85,0.3145,89.99
77,0.2112,92.72,0.3278,89.96
78,0.2030,92.77,0.3151,90.12
79,0.2059,92.75,0.3175,90.46
80,0.1999,92.88,0.3537,89.62
81,0.1944,93.15,0.3426,90.14
82,0.2033,92.85,0.3327,89.48
83,0.1987,93.11,0.3522,89.15
84,0.1966,93.14,0.3251,89.80
85,0.1949,93.22,0.3418,89.87
86,0.1874,93.47,0.3785,88.79
87,0.1906,93.16,0.3345,89.93
88,0.1893,93.23,0.3613,89.42
89,0.1884,93.41,0.3513,89.04
90,0.1927,93.33,0.3337,90.19
91,0.1825,93.75,0.3373,90.06
92,0.1870,93.37,0.3324,89.97
93,0.1873,93.42,0.3256,90.03
94,0.1824,93.57,0.3495,89.38
95,0.1842,93.40,0.3465,89.88
96,0.1763,93.83,0.3656,89.66
97,0.1788,93.65,0.3278,90.08
98,0.1781,93.65,0.3449,89.68
99,0.1774,93.81,0.3304,90.35
