epoch,train_loss,train_acc,val_loss,val_acc
0,1.8803,31.39,1.6930,39.09
1,1.7001,38.27,1.5736,43.67
2,1.6342,40.81,1.5410,43.89
3,1.5833,42.91,1.5217,45.42
4,1.5475,44.11,1.4658,46.89
5,1.5125,45.10,1.4557,47.99
6,1.4975,46.10,1.4125,49.44
7,1.4791,46.55,1.3982,49.72
8,1.4541,47.67,1.4098,49.16
9,1.4388,48.02,1.3863,51.00
10,1.4236,48.69,1.3611,51.37
11,1.4056,49.12,1.3465,52.00
12,1.3970,49.47,1.3533,51.12
13,1.3898,49.82,1.3435,51.99
14,1.3760,50.35,1.3210,52.65
15,1.3667,51.11,1.3349,51.68
16,1.3569,51.45,1.3238,52.66
17,1.3550,51.06,1.2829,54.29
18,1.3431,51.48,1.3041,53.56
19,1.3265,52.22,1.2948,53.17
20,1.3196,52.55,1.2899,54.03
21,1.3124,52.76,1.2642,54.83
22,1.3064,53.11,1.2735,54.48
23,1.2987,53.05,1.2786,54.23
24,1.2891,53.38,1.2562,55.19
25,1.2890,53.67,1.2712,54.96
26,1.2769,54.24,1.2713,54.74
27,1.2735,54.00,1.2460,55.14
28,1.2674,54.48,1.2411,56.04
29,1.2535,54.84,1.2408,56.43
30,1.2543,54.70,1.2289,56.48
31,1.2484,54.70,1.2171,56.54
32,1.2371,55.30,1.2463,55.53
33,1.2381,55.41,1.2263,56.67
34,1.2357,55.68,1.2081,57.67
35,1.2283,55.68,1.2183,57.16
36,1.2155,56.40,1.2128,56.68
37,1.2123,56.54,1.2449,56.03
38,1.2125,56.61,1.2126,57.57
39,1.2049,56.69,1.2225,56.94
40,1.1985,57.05,1.2128,57.47
41,1.1975,56.98,1.2305,57.41
42,1.1925,57.28,1.2137,57.38
43,1.1881,57.29,1.2078,57.64
44,1.1919,57.17,1.2012,58.46
45,1.1766,57.86,1.1962,57.61
46,1.1769,57.95,1.2039,57.54
47,1.1661,58.09,1.1854,58.37
48,1.1737,57.87,1.1837,58.49
49,1.1673,58.09,1.2025,57.81
50,1.1621,58.19,1.2190,57.30
51,1.1619,58.34,1.1963,57.96
52,1.1538,58.70,1.1993,58.05
53,1.1499,58.62,1.1812,57.67
54,1.1465,58.88,1.1859,59.05
55,1.1487,58.73,1.1800,58.75
56,1.1386,58.94,1.1862,58.99
57,1.1412,58.84,1.1648,59.55
58,1.1313,59.53,1.1978,58.31
59,1.1315,59.20,1.1747,59.05
60,1.1317,59.53,1.1816,58.91
61,1.1308,59.35,1.1811,58.99
62,1.1169,59.77,1.1699,59.28
63,1.1217,59.92,1.1877,58.67
64,1.1206,59.93,1.1679,59.43
65,1.1104,60.28,1.1819,59.53
66,1.1087,60.12,1.1642,59.64
67,1.1052,60.44,1.1588,60.03
68,1.0998,60.48,1.1755,58.83
69,1.0967,60.40,1.1714,59.11
70,1.1021,60.57,1.1530,60.34
71,1.0944,60.77,1.1528,59.64
72,1.0933,60.89,1.1626,60.06
73,1.0903,60.60,1.1604,59.79
74,1.0871,60.98,1.1592,59.53
75,1.0879,61.23,1.1518,59.92
76,1.0869,61.05,1.1532,60.03
77,1.0804,61.10,1.1846,59.45
78,1.0809,61.13,1.1508,60.48
79,1.0771,61.28,1.1476,60.06
80,1.0699,61.70,1.1721,59.85
81,1.0801,61.43,1.1513,59.83
82,1.0615,61.78,1.1737,59.89
83,1.0665,61.80,1.1537,60.26
84,1.0610,61.90,1.1750,59.71
85,1.0635,61.81,1.1602,60.22
86,1.0589,62.15,1.1449,60.62
87,1.0508,62.20,1.1502,60.37
88,1.0522,62.12,1.1537,60.22
89,1.0537,62.31,1.1539,60.28
90,1.0501,62.27,1.1572,60.13
91,1.0420,62.51,1.1729,60.00
92,1.0459,62.53,1.1509,60.14
93,1.0467,62.17,1.1591,59.84
94,1.0422,62.47,1.1609,60.68
95,1.0428,62.37,1.1486,60.86
96,1.0400,62.69,1.1448,60.90
97,1.0355,62.88,1.1547,61.01
98,1.0289,63.22,1.1511,60.94
99,1.0284,63.13,1.1715,60.66
